symbols,desc,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
IGLL5,immunoglobulin lambda like polypeptide 5,2.303637546801424e-102,0.8397696375833597,1,1,4.039658802070977e-98
CXCL8,C-X-C motif chemokine ligand 8,5.866526455469741e-92,-0.8982685485029487,1,1,1.0287540792311737e-87
FKBP5,FKBP prolyl isomerase 5,1.3518137530709082e-54,0.915458970016156,1,1,2.3705405973851447e-50
GIMAP4,"GTPase, IMAP family member 4",5.370983953637676e-54,0.6760338730359536,1,1,9.418557461099029e-50
KCNQ5,potassium voltage-gated channel subfamily Q member 5,3.434387608089124e-39,-0.7816595208226396,1,1,6.022542109545087e-35
H1-4,"H1.4 linker histone, cluster member",3.252310850815346e-37,-0.7202412542434904,1,1,5.703252307989791e-33
SPTBN1,"spectrin beta, non-erythrocytic 1",3.447993552155852e-32,-0.5089232612948926,1,1,6.046401493060502e-28
ARHGAP15,Rho GTPase activating protein 15,7.281525315322334e-32,-0.7099655512055998,1,1,1.2768882792949245e-27
HMGN1,high mobility group nucleosome binding domain 1,1.1575988565886043e-31,0.43533883515249805,1,1,2.0299653549137764e-27
PCED1B,PC-esterase domain containing 1B,1.213720587263021e-31,-0.6648797396910104,1,1,2.1283804218244338e-27
SON,SON DNA and RNA binding protein,2.1379214688539662e-31,0.411076460170837,1,1,3.749059087782315e-27
MT-ND6,NA,1.6961869439568697e-29,-0.5735493625719392,1,1,2.974433424922767e-25
GRIP1,glutamate receptor interacting protein 1,4.3406631305292365e-29,-0.8831763613349461,1,1,7.611786865696069e-25
NCALD,neurocalcin delta,6.419136965278699e-29,-0.7331418211314731,1,1,1.1256598582312727e-24
HIVEP3,HIVEP zinc finger 3,7.746078440665046e-29,-0.567182497197039,1,1,1.3583523153550224e-24
ARL17B,ADP ribosylation factor like GTPase 17B,9.516322910416685e-29,-0.5003781116502373,1,1,1.6687823855706697e-24
ABCC1,ATP binding cassette subfamily C member 1,1.0717714804965644e-28,0.4901572061383528,1,1,1.8794584681987753e-24
RACK1,receptor for activated C kinase 1,2.3133338000473414e-28,0.5032586015174925,1,1,4.056662151763018e-24
PLCB1,phospholipase C beta 1,7.483856748793713e-28,-0.6799754119152861,1,1,1.3123691194684655e-23
IL32,interleukin 32,1.6601394949355545e-27,0.6860185857161798,1,1,2.9112206183189885e-23
RPL17,ribosomal protein L17,2.1849594333889016e-26,0.5333837134642256,1,1,3.831544862390778e-22
CSTB,cystatin B,9.003997123579006e-26,0.3784813166531469,1,1,1.5789409355908145e-21
KANSL1,KAT8 regulatory NSL complex subunit 1,2.050612097647718e-25,-0.5198348291099841,1,1,3.595953374435038e-21
PRMT2,protein arginine methyltransferase 2,3.505742707965539e-25,0.38073725060750996,1,1,6.147670412688369e-21
ATP8A1,ATPase phospholipid transporting 8A1,1.531629636398533e-23,-0.43083550403192183,1,1,2.6858657303884675e-19
ATP8B4,ATPase phospholipid transporting 8B4 (putative),2.2984620784336285e-23,-0.4823983591213199,1,1,4.030583100741211e-19
HLA-A,"major histocompatibility complex, class I, A",7.177208766719001e-23,0.37967844922366734,1,1,1.258595329331844e-18
ERBIN,erbb2 interacting protein,1.3593337454736477e-22,-0.4633643640630676,1,1,2.3837276560625884e-18
TYROBP,transmembrane immune signaling adaptor TYROBP,1.7639903995220613e-22,-0.4310457271065027,1,1,3.0933335646018866e-18
EML4,EMAP like 4,2.3486865578440236e-22,-0.5458550873343562,1,1,4.1186567478352796e-18
JAZF1,JAZF zinc finger 1,4.315217082997168e-22,-0.5267403915452857,1,1,7.567164676743833e-18
DPYD,dihydropyrimidine dehydrogenase,5.20250414607911e-22,-0.5421944330415647,1,1,9.123111270564326e-18
RPL36A,ribosomal protein L36a,8.566968158517182e-22,0.47073472891337076,1,1,1.502303536277573e-17
CARD11,caspase recruitment domain family member 11,1.0795912340664072e-21,-0.48435757410518043,1,1,1.893171188058852e-17
A2M,alpha-2-macroglobulin,1.1433571931621893e-21,-0.6207732201874272,1,1,2.004991173929215e-17
FMN1,formin 1,1.3412564220509096e-21,-0.46902258740992964,1,1,2.352027261708475e-17
MAML2,mastermind like transcriptional coactivator 2,6.018143910129774e-21,-0.6260355848538293,1,1,1.0553417160803571e-16
AKT3,AKT serine/threonine kinase 3,6.391661836978512e-21,-0.4882308515593796,1,1,1.120841819732552e-16
VPS13C,vacuolar protein sorting 13 homolog C,7.104666087230703e-21,-0.40330665419954315,1,1,1.245874245056776e-16
RPS10,ribosomal protein S10,1.3396823857376012e-20,0.412593460861995,1,1,2.3492670316294574e-16
ELMO1,engulfment and cell motility 1,1.367215036953713e-20,-0.4726740790492885,1,1,2.397548288802031e-16
ATP5PO,ATP synthase peripheral stalk subunit OSCP,2.1080670357438868e-20,0.334311837163735,1,1,3.6967063538804796e-16
RPL28,ribosomal protein L28,2.169339986826884e-20,0.42461458355801085,1,1,3.804154600899624e-16
KAT6A,lysine acetyltransferase 6A,2.6825190782638978e-20,-0.46521443947879737,1,1,4.704065455643571e-16
FRY,FRY microtubule binding protein,3.1556402699400846e-20,-0.5303715159120261,1,1,5.533730777366933e-16
ATM,ATM serine/threonine kinase,3.3513880730715154e-20,-0.4232750390037938,1,1,5.876994124938209e-16
ADAM12,ADAM metallopeptidase domain 12,3.9743386109738e-20,-0.4660147038655753,1,1,6.969400188203655e-16
CD74,CD74 molecule,5.884259907050996e-20,-0.34842912336182197,1,1,1.0318638173004626e-15
LYN,"LYN proto-oncogene, Src family tyrosine kinase",6.256400722603174e-20,-0.370064300757283,1,1,1.0971224307156926e-15
ATP5PF,ATP synthase peripheral stalk subunit F6,7.926407262918428e-20,0.3235754589191422,1,1,1.3899747776253755e-15
PZP,PZP alpha-2-macroglobulin like,1.3932978056123367e-19,-0.5399193071470909,1,1,2.4432870319217938e-15
PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",1.7242432971382827e-19,-0.38190031981753725,1,1,3.0236330458616925e-15
PKIB,cAMP-dependent protein kinase inhibitor beta,1.962743170396836e-19,0.46857096750615,1,1,3.441866423607892e-15
SHOC1,shortage in chiasmata 1,4.556940295334035e-19,-0.3958861794412849,1,1,7.991050501897764e-15
RPS6KA2,ribosomal protein S6 kinase A2,4.932873707422459e-19,-0.4146060909347822,1,1,8.650287333336023e-15
ULK4,unc-51 like kinase 4,5.021149449591862e-19,-0.42206074991742426,1,1,8.80508767480429e-15
HLA-B,"major histocompatibility complex, class I, B",5.432017746593603e-19,0.34583351654568606,1,1,9.525586320426543e-15
ABCA1,ATP binding cassette subfamily A member 1,7.569139255634948e-19,-0.3983826232941743,1,1,1.3273242598681446e-14
DOCK2,dedicator of cytokinesis 2,7.798985322455144e-19,-0.41561993034497835,1,1,1.367630066145734e-14
MYCBP2,MYC binding protein 2,8.68159561647895e-19,-0.4031332079205958,1,1,1.5224046073057485e-14
NCOA2,nuclear receptor coactivator 2,9.168841443532676e-19,-0.4180297559297035,1,1,1.6078480355378902e-14
ZEB1,zinc finger E-box binding homeobox 1,9.606480705135812e-19,-0.4536037282740044,1,1,1.684592456452616e-14
PCDH9,protocadherin 9,1.0879411453148413e-18,-0.40631380500210423,1,1,1.907813592424106e-14
SP100,SP100 nuclear antigen,1.2097351091583222e-18,-0.43637596493057984,1,1,2.1213914874200336e-14
ZBTB20,zinc finger and BTB domain containing 20,1.4856899648619083e-18,-0.5040122195964969,1,1,2.6053059223818423e-14
SMYD3,SET and MYND domain containing 3,1.564942630022164e-18,-0.5522127890342357,1,1,2.7442833960068668e-14
STK10,serine/threonine kinase 10,2.608584375641392e-18,-0.37787844041988716,1,1,4.574413561124745e-14
AFF3,ALF transcription elongation factor 3,3.784569431359054e-18,-0.5445635954904524,1,1,6.636620954831237e-14
SETX,senataxin,4.37713860347048e-18,-0.3574299971270092,1,1,7.675750255045834e-14
RPS3A,ribosomal protein S3A,4.680608131114723e-18,0.3934064916294373,1,1,8.207914418722779e-14
DUSP16,dual specificity phosphatase 16,5.7644486281639264e-18,-0.4629199421606458,1,1,1.0108537114348261e-13
IRF1,interferon regulatory factor 1,7.119994759588236e-18,-0.3765183054639645,1,1,1.2485622810413932e-13
RAP1GAP2,RAP1 GTPase activating protein 2,8.854427544356021e-18,-0.434890158923243,1,1,1.5527124141782718e-13
ITGB2,integrin subunit beta 2,1.1453420918261513e-17,0.3130484053490701,1,1,2.008471892226339e-13
TBC1D22A,TBC1 domain family member 22A,1.1780227730430526e-17,-0.3975803142344434,1,1,2.065780734808297e-13
NAMPT,nicotinamide phosphoribosyltransferase,1.5112299722754353e-17,-0.3381915473944468,1,1,2.6500928793822033e-13
SOD1,superoxide dismutase 1,1.6966882099318856e-17,0.30230271623012017,1,1,2.9753124449365547e-13
SMAP1,small ArfGAP 1,1.7884293938107144e-17,-0.3526894634841704,1,1,3.136189784986469e-13
CDK17,cyclin dependent kinase 17,1.9953306999256734e-17,-0.3840538806492697,1,1,3.499011915389661e-13
PRKCH,protein kinase C eta,2.786810911582524e-17,-0.43192393092818127,1,1,4.886951614551114e-13
ARHGAP25,Rho GTPase activating protein 25,3.3759121929513096e-17,-0.4397302999051902,1,1,5.919999621559416e-13
INPP4A,inositol polyphosphate-4-phosphatase type I A,4.21171769142744e-17,-0.36860447173124267,1,1,7.385668143687158e-13
LGALS1,galectin 1,4.657540520244286e-17,0.5050111177801846,1,1,8.167463056300379e-13
STK39,serine/threonine kinase 39,5.049189812600222e-17,-0.37839742659044195,1,1,8.85425925537575e-13
MBNL1,muscleblind like splicing regulator 1,5.634398757110733e-17,-0.5214837022893484,1,1,9.880481660469381e-13
FBXL17,F-box and leucine rich repeat protein 17,6.192133294175157e-17,-0.45965493572585725,1,1,1.0858524944665554e-12
LCP2,lymphocyte cytosolic protein 2,6.457097436120652e-17,-0.37952555621865414,1,1,1.1323166063981177e-12
MED13L,mediator complex subunit 13L,6.580768957032303e-17,-0.4324633941182774,1,1,1.1540036443051846e-12
TBC1D5,TBC1 domain family member 5,7.422122602087573e-17,-0.4460791132183233,1,1,1.3015434195020769e-12
PPP2R5A,protein phosphatase 2 regulatory subunit B'alpha,8.927253478729298e-17,-0.34255793319699146,1,1,1.5654831700299696e-12
GNLY,granulysin,9.702579380600645e-17,-0.5449787989858024,1,1,1.701444320182129e-12
TNIK,TRAF2 and NCK interacting kinase,1.07672617637158e-16,-0.43295738902145553,1,1,1.8881470228852026e-12
DOCK11,dedicator of cytokinesis 11,1.0905820916706617e-16,-0.35342222032984183,1,1,1.9124447559536722e-12
CHCHD3,coiled-coil-helix-coiled-coil-helix domain containing 3,1.1647320346837147e-16,0.3507761317938578,1,1,2.042474096021362e-12
LZTFL1,leucine zipper transcription factor like 1,1.2406985218465274e-16,-0.3973702613450669,1,1,2.1756889279100704e-12
P2RY8,P2Y receptor family member 8,1.340860138666763e-16,-0.46260722055962544,1,1,2.351332339166036e-12
RIPOR2,RHO family interacting cell polarization regulator 2,1.585903748143895e-16,-0.4753721028507165,1,1,2.7810408127451343e-12
RESF1,retroelement silencing factor 1,1.6398333008850967e-16,-0.3897365017517913,1,1,2.8756116764321056e-12
SOD2,superoxide dismutase 2,1.8367716452243248e-16,-0.3258410821941222,1,1,3.220962757065376e-12
ST8SIA4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",2.366545109809349e-16,-0.3503834051235839,1,1,4.149973504561675e-12
MACF1,microtubule actin crosslinking factor 1,2.7799375097794053e-16,-0.3895133025258146,1,1,4.8748984171491655e-12
PRKG1,protein kinase cGMP-dependent 1,3.0983808399505493e-16,0.5161647903725555,1,1,5.433320640937283e-12
RUNX3,RUNX family transcription factor 3,5.065119473881049e-16,-0.34683352119424926,1,1,8.882193509397808e-12
TANC2,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2",5.695199648582828e-16,-0.39970812136771605,1,1,9.987102103754846e-12
STK17A,serine/threonine kinase 17a,6.189706503294438e-16,-0.35926681986295117,1,1,1.0854269324177125e-11
XCL1,X-C motif chemokine ligand 1,7.281609329950716e-16,-0.4029848710729964,1,1,1.2769030121001575e-11
MYO1F,myosin IF,7.971909516338254e-16,-0.37088430114417426,1,1,1.3979540527850762e-11
MLLT3,MLLT3 super elongation complex subunit,9.065001241727778e-16,-0.43260434899563305,1,1,1.589638617749383e-11
SVIL,supervillin,9.531350569584879e-16,-0.37462858995661463,1,1,1.6714176358824045e-11
HNRNPH1,heterogeneous nuclear ribonucleoprotein H1,1.2259163288234533e-15,-0.29622042276412097,1,1,2.1497668742248077e-11
ZCCHC7,zinc finger CCHC-type containing 7,1.254502209851176e-15,-0.4168596382095209,1,1,2.1998950751950222e-11
NIPBL,NIPBL cohesin loading factor,1.2642807635769414e-15,-0.35149402329722124,1,1,2.2170427470085246e-11
