symbols,desc,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
MT-ND6,NA,1.190283283031693e-307,-1.592041205699194,1,1,2.087280765124377e-303
CTSC,cathepsin C,1.6438688011446848e-289,-1.917688740778976,1,1,2.8826883296873192e-285
ARL17B,ADP ribosylation factor like GTPase 17B,1.0270579280081909e-204,-1.1329618470333302,1,1,1.8010487825551636e-200
HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",1.925828182515113e-189,1.8910616879011972,1,1,3.3771323008585025e-185
NEBL,nebulette,3.282794073980124e-179,-1.3411154418551818,1,1,5.756707688131545e-175
SLC25A13,solute carrier family 25 member 13,1.7332515403375497e-143,-1.3422605477148857,1,1,3.039429901135927e-139
TBC1D5,TBC1 domain family member 5,1.8513399373093722e-135,-1.6224941453155681,1,1,3.246509714065715e-131
MT-ATP8,NA,9.466216051797575e-131,-1.1667096658672236,1,1,1.659995646843223e-126
FCHSD2,FCH and double SH3 domains 2,6.86787511948813e-123,-1.9468434985027177,1,1,1.2043505809534385e-118
CPVL,carboxypeptidase vitellogenic like,7.228511653593673e-122,-1.155744460954545,1,1,1.2675918035741865e-117
H1-4,"H1.4 linker histone, cluster member",2.0569719094264328e-118,-0.8873691790277132,1,1,3.6071059403701925e-114
IGLL5,immunoglobulin lambda like polypeptide 5,1.595330429224238e-117,1.1597887837746361,1,1,2.7975714406876234e-113
TMEM176A,transmembrane protein 176A,9.597990640218815e-116,-1.0665697810176284,1,1,1.6831036386687713e-111
SLC9A9,solute carrier family 9 member A9,2.695772565709252e-114,-1.198560951210663,1,1,4.727306771227744e-110
LNPEP,leucyl and cystinyl aminopeptidase,1.64173724565356e-110,-1.0838684729402557,1,1,2.8789504339780826e-106
KANSL1,KAT8 regulatory NSL complex subunit 1,2.9304294465536993e-108,-1.2869895405543939,1,1,5.1388010774765675e-104
BAZ2B,bromodomain adjacent to zinc finger domain 2B,1.726545037326656e-107,-1.2399830654918524,1,1,3.027669377456024e-103
ADK,adenosine kinase,3.644002337669172e-107,-1.1904179851554304,1,1,6.39012249933666e-103
ATM,ATM serine/threonine kinase,6.51844053638973e-107,-0.9793719824822718,1,1,1.1430737324613031e-102
VPS13C,vacuolar protein sorting 13 homolog C,8.779333002655954e-107,-1.2175549644579124,1,1,1.539543835345748e-102
ZNF638,zinc finger protein 638,4.787244611388317e-105,-1.0303969674647333,1,1,8.394912150530553e-101
COMMD10,COMM domain containing 10,1.9337880421835723e-104,-1.1661595849429498,1,1,3.3910907107731126e-100
POLR2J3.1,NA,2.6452588010758678e-104,-0.7569981587085015,1,1,4.638725833566642e-100
ASCC3,activating signal cointegrator 1 complex subunit 3,5.618282549796424e-104,-1.1170386559004366,1,1,9.85222027932301e-100
ARL15,ADP ribosylation factor like GTPase 15,5.752906269947876e-101,-1.437407049055523,1,1,1.0088296434980596e-96
FAM172A,family with sequence similarity 172 member A,9.720129035693531e-101,-1.188691534387981,1,1,1.7045218276992176e-96
TLR1,toll like receptor 1,4.596210223221445e-100,-1.0224623875868506,1,1,8.059914247441127e-96
VPS13B,vacuolar protein sorting 13 homolog B,2.245167182034065e-99,-1.2518829710281536,1,1,3.937125170414936e-95
GLIS3,GLIS family zinc finger 3,5.701483809386345e-99,-1.2966508149028355,1,1,9.9981220081398945e-95
PHF21A,PHD finger protein 21A,6.454145479425495e-99,-1.3410070826551816,1,1,1.1317989512720548e-94
ADAMDEC1,ADAM like decysin 1,2.2945170296454154e-98,-0.9391612101665001,1,1,4.0236650631862e-94
SCLT1,sodium channel and clathrin linker 1,3.827142280226069e-98,-1.3235738497900615,1,1,6.711276702604435e-94
ALPK1,alpha kinase 1,4.287207294180102e-97,-0.9429537378888402,1,1,7.518046711074227e-93
PAK1,p21 (RAC1) activated kinase 1,7.573747893274262e-97,-0.9987248518028797,1,1,1.3281324305645746e-92
ANKRD44,ankyrin repeat domain 44,3.759313655770062e-96,-1.4836278603983146,1,1,6.592332426758381e-92
HSPA6,heat shock protein family A (Hsp70) member 6,1.9170272198513403e-95,2.134009272171294,1,1,3.3616989327313105e-91
PTPRC,protein tyrosine phosphatase receptor type C,9.188250642874012e-95,-1.557413967367049,1,1,1.6112516327343867e-90
TNRC6B,trinucleotide repeat containing adaptor 6B,1.694976395802058e-94,-1.0880490354607448,1,1,2.9723106076784886e-90
SP100,SP100 nuclear antigen,1.2081619467981014e-93,-1.0875164588318986,1,1,2.1186327899051504e-89
TTC17,tetratricopeptide repeat domain 17,1.50803251882411e-93,-1.034482456382916,1,1,2.6444858250099593e-89
PHF3,PHD finger protein 3,1.2982810037082812e-92,-0.817360989720505,1,1,2.276665568102842e-88
ACVR2A,activin A receptor type 2A,3.239114072855278e-92,-1.1987965763917416,1,1,5.680110438159015e-88
DOCK8,dedicator of cytokinesis 8,3.803972700984651e-92,-1.3797425357488247,1,1,6.670646528446684e-88
GPD2,glycerol-3-phosphate dehydrogenase 2,3.886004776940598e-92,-1.1693812723365618,1,1,6.814497976843033e-88
ARHGAP15,Rho GTPase activating protein 15,4.192938100143291e-92,-1.423090022045789,1,1,7.352736252411276e-88
NCOA1,nuclear receptor coactivator 1,5.4171058080216366e-92,-1.1896976473814354,1,1,9.499436744946742e-88
RSRC1,arginine and serine rich coiled-coil 1,9.127945399415624e-92,-0.9866320837482283,1,1,1.6006765052415238e-87
EPC2,enhancer of polycomb homolog 2,1.1357894055215952e-91,-0.8648012631488904,1,1,1.9917203015226693e-87
IKZF1,IKAROS family zinc finger 1,1.1655373761603229e-91,-1.6221572242107807,1,1,2.0438863428347423e-87
JAK2,Janus kinase 2,1.278369400854207e-91,-1.1947764095774316,1,1,2.2417485813379374e-87
WIPF1,WAS/WASL interacting protein family member 1,1.3748658564918087e-91,-1.0582241412755662,1,1,2.4109647659440356e-87
PRPF4B,pre-mRNA processing factor 4B,1.3791327509136723e-90,-0.7991407324269084,1,1,2.418447192002216e-86
ITPR2,"inositol 1,4,5-trisphosphate receptor type 2",1.8757518657346776e-90,-1.6925911008039631,1,1,3.289318471752331e-86
CEPT1,choline/ethanolamine phosphotransferase 1,2.5538279029981484e-90,-0.952824809111591,1,1,4.478392610697553e-86
CHN2,chimerin 2,4.262426447854721e-89,-1.2630855999166462,1,1,7.474591018958039e-85
ADAM28,ADAM metallopeptidase domain 28,5.4668132100331106e-89,-0.9938559292793552,1,1,9.586603645114063e-85
TFEC,transcription factor EC,7.948686226744922e-89,-1.3077937996774276,1,1,1.3938816167219895e-84
ITFG1,integrin alpha FG-GAP repeat containing 1,4.978922218737728e-88,-1.039094027067189,1,1,8.73103800277848e-84
ASXL2,ASXL transcriptional regulator 2,1.0857073824762707e-87,-0.876658177124636,1,1,1.9038964659103884e-83
CDKAL1,CDK5 regulatory subunit associated protein 1 like 1,1.4061551134155131e-87,-1.0189482705280943,1,1,2.4658336068854437e-83
ZBTB20,zinc finger and BTB domain containing 20,3.9896156805091424e-87,-1.2265261806002252,1,1,6.996190057340831e-83
PNISR,PNN interacting serine and arginine rich protein,6.421765243959477e-87,-0.8304056095797194,1,1,1.1261207531807338e-82
SIGLEC10,sialic acid binding Ig like lectin 10,1.4818101069751937e-86,-1.1522889075841245,1,1,2.5985022035916995e-82
CHD9,chromodomain helicase DNA binding protein 9,2.6969123571664854e-86,-1.1420571392638976,1,1,4.729305509527149e-82
COA1,cytochrome c oxidase assembly factor 1,8.825700094388985e-86,-1.0696037593045566,1,1,1.5476747685520524e-81
RNF130,ring finger protein 130,1.6497244933589283e-84,-1.2154902466997086,1,1,2.8929568715542165e-80
CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1,2.080905508975467e-84,-0.945364690882255,1,1,3.649075900539379e-80
ATRX,ATRX chromatin remodeler,2.7253691566883786e-84,-0.9365394601523047,1,1,4.779207353168741e-80
FBXW7,F-box and WD repeat domain containing 7,8.167470014238917e-84,-1.1842729857481786,1,1,1.4322475416969366e-79
RESF1,retroelement silencing factor 1,1.4464950900567026e-83,-0.9166213654304352,1,1,2.5365737899234337e-79
PHIP,pleckstrin homology domain interacting protein,1.0194965142046994e-82,-0.992736401946857,1,1,1.787789087309361e-78
ATAD2B,ATPase family AAA domain containing 2B,1.56414986627197e-82,-1.0483017299366104,1,1,2.7428932054945268e-78
ZNF710,zinc finger protein 710,2.4434449140374657e-82,-1.087910534940896,1,1,4.2848250012561e-78
VOPP1,VOPP1 WW domain binding protein,3.06922598573835e-82,-1.0938457620437885,1,1,5.38219468859077e-78
N4BP2L2,NEDD4 binding protein 2 like 2,3.968406244278626e-82,-0.9992462067962533,1,1,6.958997189966999e-78
DDX5,DEAD-box helicase 5,7.34105890733136e-82,-1.0077816829468031,1,1,1.2873280899896273e-77
FYB1,FYN binding protein 1,2.722563982881874e-81,-1.5478245921704818,1,1,4.774288200381654e-77
NKG7,natural killer cell granule protein 7,3.067668780581304e-81,-1.012377377409241,1,1,5.3794639736273744e-77
NCOA2,nuclear receptor coactivator 2,3.4213225139488605e-81,-1.105095015103844,1,1,5.999631160460722e-77
ALOX5,arachidonate 5-lipoxygenase,8.921861578114953e-81,-1.040812283884483,1,1,1.5645376463382382e-76
GSK3B,glycogen synthase kinase 3 beta,2.268463995682882e-80,-1.000158651641052,1,1,3.977978462829502e-76
SMG1,SMG1 nonsense mediated mRNA decay associated PI3K related kinase,4.569835329455687e-80,-0.8629110486229974,1,1,8.013663233733493e-76
NR6A1,nuclear receptor subfamily 6 group A member 1,1.760414023536349e-79,-1.1449159189091849,1,1,3.087062031673342e-75
NCL,nucleolin,9.181282589059435e-79,-0.9908325337631394,1,1,1.6100297148174625e-74
DDX17,DEAD-box helicase 17,2.7563318466673155e-78,-0.8431405683746909,1,1,4.8335035263158044e-74
STAG2,stromal antigen 2,5.523148859240883e-78,-0.922084467393522,1,1,9.685393839564812e-74
ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",7.002910358664041e-78,-0.920268114950803,1,1,1.2280303604953263e-73
DLG1,discs large MAGUK scaffold protein 1,7.323051784652162e-78,-0.8152772601859797,1,1,1.2841703609566032e-73
RAP1GAP2,RAP1 GTPase activating protein 2,8.097992705312989e-78,-0.9607299698818381,1,1,1.420064000803686e-73
MBNL1,muscleblind like splicing regulator 1,9.66194948937214e-78,-1.4583469786102525,1,1,1.6943194624562986e-73
ARHGAP25,Rho GTPase activating protein 25,1.837572583205933e-77,-1.032588820512315,1,1,3.222367281909924e-73
TMEM131,transmembrane protein 131,2.0164669165781918e-77,-1.0443722159772943,1,1,3.536076384911517e-73
NRP1,neuropilin 1,2.4199591508171058e-77,-0.9483475287426504,1,1,4.243640366872877e-73
ELMO1,engulfment and cell motility 1,2.6463339085000805e-77,-1.1937387884748154,1,1,4.6406111419457413e-73
HMBOX1,homeobox containing 1,2.952843425306918e-76,-0.9033519746514946,1,1,5.178106230618212e-72
NKTR,natural killer cell triggering receptor,3.010416055343828e-76,-0.7663822128699047,1,1,5.279065594650937e-72
LCORL,ligand dependent nuclear receptor corepressor like,3.2538662848346435e-76,-0.9669706645301488,1,1,5.705979917086031e-72
MYO5A,myosin VA,3.3773712428510106e-76,-0.97880147734152545,1,1,5.922558211463532e-72
LINGO1,leucine rich repeat and Ig domain containing 1,3.6935516157085636e-76,-0.6443347846661909,1,1,6.477012113306538e-72
BBX,BBX high mobility group box domain containing,8.108857628648327e-76,-0.9635800423208118,1,1,1.4219692737597706e-71
DRAM2,DNA damage regulated autophagy modulator 2,8.199777958104745e-76,-0.7607812745601632,1,1,1.437913062733248e-71
KIAA2026,KIAA2026,8.953905457678087e-76,-0.7801898622673209,1,1,1.5701568610584294e-71
DPYD,dihydropyrimidine dehydrogenase,2.1841554495602968e-75,-1.5813035458740385,1,1,3.830134996348936e-71
NRDC,nardilysin convertase,3.300752995128385e-75,-0.8094702405677652,1,1,5.788200452257136e-71
EP300,E1A binding protein p300,6.641305650690539e-75,-0.8296818261329502,1,1,1.1646193589050929e-70
BPTF,bromodomain PHD finger transcription factor,1.0227316228159796e-74,-0.9046568170310971,1,1,1.793462173770102e-70
MBD5,methyl-CpG binding domain protein 5,1.1185211489802528e-74,-1.0129426155122072,1,1,1.9614386868517714e-70
EPC1,enhancer of polycomb homolog 1,1.1187354115150124e-74,-0.8745653936526239,1,1,1.9618144176327258e-70
RAB3GAP1,RAB3 GTPase activating protein catalytic subunit 1,1.158533445394326e-74,-0.8177454657883765,1,1,2.03160424984349e-70
ITSN2,intersectin 2,1.3497896356660154e-74,-0.9310118367411926,1,1,2.3669911051039247e-70
BMT2,base methyltransferase of 25S rRNA 2 homolog,1.364784783808658e-74,-1.037984784398362,1,1,2.3932865968868625e-70
PHF14,PHD finger protein 14,1.5017494016499045e-74,-0.767940434115923,1,1,2.6334677507332727e-70
SORL1,sortilin related receptor 1,1.6226993320311227e-74,-0.8141352885351336,1,1,2.8455655486497767e-70
MANBA,mannosidase beta,1.736559367054603e-74,-1.0535473157332296,1,1,3.0452305060669516e-70
COG5,component of oligomeric golgi complex 5,3.2129457067724714e-74,-0.9274798345932749,1,1,5.634221591396206e-70
IL6,interleukin 6,7.658511514178024e-74,1.8187203733705526,1,1,1.3429965791262583e-69
RFX3,regulatory factor X3,7.903912782605072e-74,-0.8296791170665205,1,1,1.3860301455576253e-69
PIAS1,protein inhibitor of activated STAT 1,1.3300097875137545e-73,-1.0245011259630568,1,1,2.33230516338412e-69
SHOC2,SHOC2 leucine rich repeat scaffold protein,2.6972514280960567e-73,-0.7928749369986885,1,1,4.729900104309245e-69
LSP1,lymphocyte specific protein 1,4.182130040151265e-73,-0.744526693741125,1,1,7.333783238409258e-69
WDR70,WD repeat domain 70,5.0356489368994795e-73,-0.8595468145896212,1,1,8.830513975746927e-69
NIPBL,NIPBL cohesin loading factor,9.177116819452361e-73,-1.0121733954211165,1,1,1.609299205459166e-68
USO1,USO1 vesicle transport factor,1.1106233035733624e-72,-0.7505019806591491,1,1,1.9475890251462482e-68
TBCK,TBC1 domain containing kinase,1.1372084477270637e-72,-0.7456042887597496,1,1,1.9942087339341788e-68
STXBP5,syntaxin binding protein 5,1.4785482465296266e-72,-0.8012790246096393,1,1,2.5927822051143534e-68
UVRAG,UV radiation resistance associated,3.1789543235222816e-72,-1.222805882356011,1,1,5.574614301728673e-68
DENND1A,DENN domain containing 1A,4.0152583979737194e-72,-1.057072648619624,1,1,7.041157126686715e-68
ZNF407,zinc finger protein 407,6.70705302999314e-72,-0.9616337904898877,1,1,1.176148819339597e-67
ELP4,elongator acetyltransferase complex subunit 4,6.87919319072437e-72,-0.7927889937198385,1,1,1.2063353179254255e-67
SH3BGRL,SH3 domain binding glutamate rich protein like,7.876792766118905e-72,-1.0592880036301402,1,1,1.3812743794666113e-67
KMT2C,lysine methyltransferase 2C,9.84256588747017e-72,-1.033491884138983,1,1,1.7259923540267692e-67
CNOT1,CCR4-NOT transcription complex subunit 1,1.1734273163087312e-71,-0.7530701489011011,1,1,2.057722141878991e-67
CEP350,centrosomal protein 350,1.3424397752573441e-71,-0.896102123359888,1,1,2.3541023898912785e-67
STX7,syntaxin 7,4.672746375136644e-71,-0.8636880814930434,1,1,8.194128043439619e-67
SCAF11,SR-related CTD associated factor 11,5.533356866535276e-71,-0.94475663601909865,1,1,9.70329460115626e-67
DOCK2,dedicator of cytokinesis 2,6.892307449885147e-71,-1.1404025644093059,1,1,1.2086350344118594e-66
USP34,ubiquitin specific peptidase 34,8.002457905292207e-71,-0.9024823610526211,1,1,1.4033110182720414e-66
TBC1D22A,TBC1 domain family member 22A,1.3183584577462284e-70,-1.0979102824046523,1,1,2.311873391503786e-66
ZNF644,zinc finger protein 644,2.0622204716512108e-70,-0.8676627831252064,1,1,3.616309819087563e-66
