symbols,desc,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FKBP5,FKBP prolyl isomerase 5,2.37200303951665e-227,1.4326238157537148,1,1,4.159544530096398e-223
IGLL5,immunoglobulin lambda like polypeptide 5,6.473984963504782e-211,0.8340924310482933,1,1,1.1352780032001987e-206
ARL17B,ADP ribosylation factor like GTPase 17B,2.2305259630644916e-84,-0.9325657741843192,1,1,3.911450328829892e-80
IL32,interleukin 32,9.59500715618119e-75,1.1613310771031187,1,1,1.6825804549079337e-70
SOD2,superoxide dismutase 2,2.8765730475018053e-74,-0.9014233964862621,1,1,5.044358496099166e-70
MT-ND6,NA,1.8932055517018764e-73,-0.8382478866988252,1,1,3.3199252554644105e-69
RPL17,ribosomal protein L17,7.098397636777136e-72,0.7411155119734967,1,1,1.2447750095852387e-67
DUSP2,dual specificity phosphatase 2,4.011293888639702e-68,0.5864162685609264,1,1,7.034204963118581e-64
LGALS1,galectin 1,1.2346893210304617e-67,0.6553394576674949,1,1,2.1651511933590177e-63
NAMPT,nicotinamide phosphoribosyltransferase,4.6592224886064265e-64,-0.8504695173098142,1,1,8.170412556020229e-60
RPS10,ribosomal protein S10,2.9465256808962686e-61,0.796062886972484,1,1,5.167027434019697e-57
H1-4,"H1.4 linker histone, cluster member",4.6779391840311914e-60,-0.7793910278540708,1,1,8.203234153117098e-56
PCDH9,protocadherin 9,2.859785116493973e-55,-0.874300138290296,1,1,5.014919180283831e-51
PRMT2,protein arginine methyltransferase 2,2.9311249917199044e-54,0.5387515154518816,1,1,5.140020785480024e-50
C15orf48,chromosome 15 open reading frame 48,6.824518963877571e-54,-0.7353432104190021,1,1,1.1967476455055709e-49
TANC2,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2",3.770656600907461e-53,-0.7306567576939218,1,1,6.6122234153513234e-49
RPL36A,ribosomal protein L36a,1.0349634909768393e-52,0.6582132603556681,1,1,1.8149119777769855e-48
IVNS1ABP,influenza virus NS1A binding protein,8.811387602275623e-52,-0.6514654166587279,1,1,1.5451649299350534e-47
KANSL1,KAT8 regulatory NSL complex subunit 1,1.2341711668640524e-50,-0.7584298819476167,1,1,2.1642425582128023e-46
KCNQ5,potassium voltage-gated channel subfamily Q member 5,6.581022515476911e-50,-1.0763263256610847,1,1,1.1540481083140312e-45
RIN3,Ras and Rab interactor 3,3.3213643296448335e-42,-0.7436002646465161,1,1,5.824344488465181e-38
SLFN12L,schlafen family member 12 like,6.744407086847976e-42,-0.7355160330322561,1,1,1.182699226749661e-37
PLXNC1,plexin C1,6.653874361181586e-41,-0.5694302178722432,1,1,1.1668234079768029e-36
ITGB2,integrin subunit beta 2,7.410439555998685e-41,0.40584165994987687,1,1,1.2994946805399295e-36
ERBIN,erbb2 interacting protein,5.1538837448790035e-40,-0.6091967912327223,1,1,9.037850535019821e-36
PI3,peptidase inhibitor 3,5.331152148501995e-40,-0.5550420672070293,1,1,9.348708407613098e-36
PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",1.1844128125034598e-39,-0.6497204352234718,1,1,2.076986308006067e-35
ATP5PF,ATP synthase peripheral stalk subunit F6,1.2640746806020703e-39,0.38090186769290213,1,1,2.2166813599037906e-35
SOD1,superoxide dismutase 1,1.2881394262489631e-39,0.3814038458718887,1,1,2.2588812978701818e-35
SLC12A6,solute carrier family 12 member 6,5.363881842628188e-38,-0.5866253728050632,1,1,9.406103199232789e-34
AFF3,ALF transcription elongation factor 3,6.434109511531492e-38,-0.864171635791299,1,1,1.1282854439421626e-33
S100A4,S100 calcium binding protein A4,6.779087936793668e-38,0.576823977935637,1,1,1.1887808605961376e-33
GOLGA8A,golgin A8 family member A,1.6072637329288623e-37,-0.47158541548332633,1,1,2.818497682064053e-33
NEDD9,"neural precursor cell expressed, developmentally down-regulated 9",2.3742483081028183e-37,-0.6169035220133541,1,1,4.163481833089102e-33
CHN2,chimerin 2,3.541833076402293e-37,-0.7035998409837045,1,1,6.210958482779061e-33
KLF12,KLF transcription factor 12,1.3287248434960196e-36,-0.7174541697845003,1,1,2.33005188555462e-32
HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,3.6513866306261327e-36,-0.6144820609594617,1,1,6.403071595465986e-32
UTRN,utrophin,4.426187408871644e-36,-0.6527857543688174,1,1,7.761762240197314e-32
LDB2,LIM domain binding 2,5.644231095515931e-36,-0.7769659786004217,1,1,9.897723649096737e-32
GIMAP4,"GTPase, IMAP family member 4",8.48270141913862e-36,0.43968194052621623,1,1,1.4875265208601486e-31
KLRC4-KLRK1,KLRC4-KLRK1 readthrough,2.4389853181837145e-35,-0.6332210323129082,1,1,4.277004653966962e-31
ATP5PO,ATP synthase peripheral stalk subunit OSCP,3.7691460778917475e-35,0.3559901061108106,1,1,6.609574562190969e-31
TOMM7,translocase of outer mitochondrial membrane 7,3.830293006182296e-35,0.44700901507036717,1,1,6.716801815641275e-31
MBNL1,muscleblind like splicing regulator 1,3.917898974399302e-35,-0.7322384143930565,1,1,6.870427641506616e-31
RPL28,ribosomal protein L28,4.775320734610365e-35,0.6568647954988931,1,1,8.374002440212736e-31
SAMD3,sterile alpha motif domain containing 3,7.427735808767556e-35,-0.6769963485277195,1,1,1.3025277514254785e-30
RPS3A,ribosomal protein S3A,8.08280155458423e-35,0.6117059301345544,1,1,1.4174000806118907e-30
SETX,senataxin,9.025647797303315e-35,-0.5284288419178857,1,1,1.5827375977351094e-30
LNPEP,leucyl and cystinyl aminopeptidase,1.3642911149677143e-34,-0.581172768091438,1,1,2.3924208992073836e-30
CD38,CD38 molecule,1.5602964958652304e-34,-0.5471670889933309,1,1,2.7361359351492683e-30
ZFP36L2,ZFP36 ring finger protein like 2,2.260291942296573e-34,0.5389296500701564,1,1,3.96364795001127e-30
SETBP1,SET binding protein 1,4.318877631201799e-34,-0.7172886463374426,1,1,7.573583814075476e-30
DUSP16,dual specificity phosphatase 16,7.377391272963039e-34,-0.5130092993893027,1,1,1.2936993336267985e-29
ST8SIA4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",1.2266567768956171e-33,-0.5471643466391152,1,1,2.1510653239641542e-29
ZBTB20,zinc finger and BTB domain containing 20,1.3816393475966363e-33,-0.689981319041828,1,1,2.4228427599454614e-29
RAB3GAP1,RAB3 GTPase activating protein catalytic subunit 1,1.5054100495442972e-33,-0.671806883351739,1,1,2.6398870628808797e-29
PLCG2,phospholipase C gamma 2,8.891328761548485e-33,-0.5760588742412245,1,1,1.5591834116251424e-28
RPS3,ribosomal protein S3,1.4532808728281026e-32,0.5912833368947776,1,1,2.5484733385913605e-28
LPP,LIM domain containing preferred translocation partner in lipoma,1.999606390023056e-32,-0.6165419857279044,1,1,3.506509765544431e-28
FRMD4A,FERM domain containing 4A,2.5583268379307203e-32,-0.6132538209309486,1,1,4.486281942995311e-28
LYN,"LYN proto-oncogene, Src family tyrosine kinase",3.6860479363682623e-32,-0.5177936358936086,1,1,6.463853661215385e-28
TTC39C,tetratricopeptide repeat domain 39C,4.1363519729281695e-32,-0.6033845113537852,1,1,7.253506819726838e-28
MACF1,microtubule actin crosslinking factor 1,5.08395594397517e-32,-0.6040442221531759,1,1,8.915225143354857e-28
MT-ATP8,NA,5.811765127585947e-32,-0.5105680378712845,1,1,1.0191511327734717e-27
PIK3AP1,phosphoinositide-3-kinase adaptor protein 1,6.016015758651162e-32,-0.5246107675894423,1,1,1.0549685234370677e-27
TBC1D31,TBC1 domain family member 31,9.125911121860365e-32,-0.5530537348573925,1,1,1.6003197743294337e-27
FBXL17,F-box and leucine rich repeat protein 17,1.40723325926604e-31,-0.6038071319476952,1,1,2.4677242434489277e-27
RPS25,ribosomal protein S25,2.08578994073583e-31,0.5580117759138687,1,1,3.657641240074352e-27
TMSB10,thymosin beta 10,4.27484621825353e-31,0.5789053884173976,1,1,7.49637032832939e-27
NOP53,NOP53 ribosome biogenesis factor,4.810348526223231e-31,0.35575840019517213,1,1,8.435427175585059e-27
LZTFL1,leucine zipper transcription factor like 1,8.525777847381037e-31,-0.5312490884649472,1,1,1.4950804033167387e-26
SOCS1,suppressor of cytokine signaling 1,8.914023285359704e-31,0.407062109339684,1,1,1.5631631233206776e-26
ATP2B1,ATPase plasma membrane Ca2+ transporting 1,9.046539777146345e-31,-0.46249869983535863,1,1,1.5864012153203832e-26
RPL21,ribosomal protein L21,1.0231183312335801e-30,0.5862190032382868,1,1,1.7941403056512062e-26
RPL26,ribosomal protein L26,1.0550259440512914e-30,0.588936881489035,1,1,1.8500934954883445e-26
RPL36,ribosomal protein L36,1.084427674045335e-30,0.5484563033420446,1,1,1.9016523692058993e-26
CD247,CD247 molecule,1.3334541192931468e-30,-0.7782495754517589,1,1,2.338345143592462e-26
NFATC3,nuclear factor of activated T cells 3,2.136055650602466e-30,-0.5395767838194119,1,1,3.745787188896484e-26
S100A6,S100 calcium binding protein A6,2.2232283712593917e-30,0.4330083960548978,1,1,3.898653271840469e-26
TSC22D1,TSC22 domain family member 1,2.7616905141590208e-30,-0.45816089235059265,1,1,4.842900485629259e-26
RACK1,receptor for activated C kinase 1,4.224753540311605e-30,0.5218453271268153,1,1,7.408527808290431e-26
SON,SON DNA and RNA binding protein,6.906863797041393e-30,0.4291559118784489,1,1,1.2111876354491788e-25
PTPN4,protein tyrosine phosphatase non-receptor type 4,7.987462074463745e-30,-0.5196658175987654,1,1,1.4006813493779623e-25
CDK13,cyclin dependent kinase 13,1.202084722881836e-29,-0.49134026498418315,1,1,2.1079757700455877e-25
DPYD,dihydropyrimidine dehydrogenase,1.243115879858441e-29,-0.5851781541578736,1,1,2.1799280069197623e-25
FNDC3B,fibronectin type III domain containing 3B,1.4144535456455872e-29,-0.5688477047373919,1,1,2.4803857376441017e-25
GRIP1,glutamate receptor interacting protein 1,1.5948895577154808e-29,-0.5834996185186094,1,1,2.796798328409867e-25
ATP8A1,ATPase phospholipid transporting 8A1,2.5291967989295104e-29,-0.5716575092907483,1,1,4.435199506602789e-25
RPL37,ribosomal protein L37,2.6456815300992723e-29,0.5888976170682279,1,1,4.639467131182084e-25
FAU,FAU ubiquitin like and ribosomal protein S30 fusion,5.296029563232188e-29,0.5213391377415562,1,1,9.287117442083965e-25
STK10,serine/threonine kinase 10,1.0795291339235157e-28,-0.47934839056031153,1,1,1.8930622892482772e-24
RPL37A,ribosomal protein L37a,1.7748474084285838e-28,0.5706544492403554,1,1,3.1123724154203645e-24
ARID2,AT-rich interaction domain 2,1.9193082986451191e-28,-0.48984031674885564,1,1,3.365699032504081e-24
KIAA0825,KIAA0825,2.88333704201376e-28,-0.5660388564549166,1,1,5.0562198368753295e-24
DOCK11,dedicator of cytokinesis 11,3.5359226957828065e-28,-0.4396012875205382,1,1,6.2005940393247294e-24
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,4.187186483330457e-28,-0.4501006719553573,1,1,7.34265021716829e-24
SACM1L,SAC1 like phosphatidylinositide phosphatase,4.226532886977018e-28,-0.45018542124439964,1,1,7.411648070602898e-24
FCHSD2,FCH and double SH3 domains 2,4.532402941061565e-28,-0.5156024788023905,1,1,7.948021797445562e-24
RPL35,ribosomal protein L35,4.954478283353924e-28,0.5229478644790695,1,1,8.68817311768944e-24
ZFAND3,zinc finger AN1-type containing 3,7.399002871588368e-28,-0.530267822393585,1,1,1.2974891435617363e-23
STRBP,spermatid perinuclear RNA binding protein,7.470003657832227e-28,-0.5251906819055461,1,1,1.3099398414374592e-23
KMT2C,lysine methyltransferase 2C,8.133307242162055e-28,-0.49185792174784737,1,1,1.426256757985538e-23
MTFR1,mitochondrial fission regulator 1,8.68714691218277e-28,-0.39897183369933,1,1,1.5233780825203705e-23
ASCC3,activating signal cointegrator 1 complex subunit 3,9.365570319069273e-28,-0.49846830288931776,1,1,1.6423464111519876e-23
PDCD4,programmed cell death 4,1.402280814988669e-27,-0.5327114277443199,1,1,2.4590396371641298e-23
GSK3B,glycogen synthase kinase 3 beta,1.4866965949569062e-27,-0.47480262348170443,1,1,2.6070711489164308e-23
SPIDR,scaffold protein involved in DNA repair,1.639653585150628e-27,-0.5810671591518148,1,1,2.8752965269201415e-23
RPL41,ribosomal protein L41,1.9447029477377044e-27,0.5910022015497178,1,1,3.4102310891528385e-23
CAMK2D,calcium/calmodulin dependent protein kinase II delta,2.1383552388367676e-27,-0.5429273872967322,1,1,3.7498197468241553e-23
HELZ,helicase with zinc finger,3.1197353383969857e-27,-0.5176919498019612,1,1,5.470767889412954e-23
RPL38,ribosomal protein L38,3.9812084415456506e-27,0.47792517465535145,1,1,6.981447123094453e-23
FTH1,ferritin heavy chain 1,4.5515168110099706e-27,-0.5121869542044157,1,1,7.981539879787084e-23
MARCHF3,membrane associated ring-CH-type finger 3,4.557531262035059e-27,-0.5206140522695721,1,1,7.992086821104679e-23
TOX2,TOX high mobility group box family member 2,4.6332099057384035e-27,-0.48726551725748535,1,1,8.124796890702864e-23
COA1,cytochrome c oxidase assembly factor 1,5.373967458888609e-27,-0.4477901340685937,1,1,9.423789335907066e-23
RPL19,ribosomal protein L19,6.433265330282805e-27,0.5454091479462209,1,1,1.1281374083183928e-22
FBXO11,F-box protein 11,6.795424676249367e-27,-0.491151494434503,1,1,1.1916456712270888e-22
RPL35A,ribosomal protein L35a,6.914605314152044e-27,0.5224846654053699,1,1,1.2125451878897025e-22
SPTLC2,serine palmitoyltransferase long chain base subunit 2,9.041071141696173e-27,-0.4200983935817908,1,1,1.585442235407841e-22
PTPN12,protein tyrosine phosphatase non-receptor type 12,1.0633875356816077e-26,-0.4855391949507535,1,1,1.8647563825712672e-22
PDE7A,phosphodiesterase 7A,1.1194262514640222e-26,-0.578836193490285,1,1,1.9630258745673093e-22
KAT6A,lysine acetyltransferase 6A,1.1232521549655153e-26,-0.4729107361402871,1,1,1.9697349789475276e-22
CD3D,CD3 delta subunit of T-cell receptor complex,1.2901268538864558e-26,0.39419810664190646,1,1,2.262366450975289e-22
RPS14,ribosomal protein S14,1.446642912237317e-26,0.5560606786650633,1,1,2.536833010899359e-22
PBX3,PBX homeobox 3,1.6382307532528298e-26,-0.5347041910077981,1,1,2.872801448904162e-22
DOCK2,dedicator of cytokinesis 2,2.039180448002726e-26,-0.5058797288526375,1,1,3.57590683361758e-22
USP15,ubiquitin specific peptidase 15,2.1091900630652815e-26,-0.46139737564260574,1,1,3.6986756945912777e-22
MED13L,mediator complex subunit 13L,2.2203565259375682e-26,-0.5132819932848904,1,1,3.8936172038841194e-22
TBC1D5,TBC1 domain family member 5,2.4575674696830077e-26,-0.5516706582145621,1,1,4.309590314836123e-22
NCOA2,nuclear receptor coactivator 2,2.4903054283995868e-26,-0.500793512336057,1,1,4.366999599241515e-22
HIP1,huntingtin interacting protein 1,2.8503819775577634e-26,-0.5744508908836177,1,1,4.998429835845294e-22
RPS23,ribosomal protein S23,4.021048950682148e-26,0.5474222589882274,1,1,7.051311439916215e-22
DENND1B,DENN domain containing 1B,4.4165737297460556e-26,-0.5050405258533384,1,1,7.744903692482683e-22
S100A10,S100 calcium binding protein A10,4.9775876943786455e-26,0.33433524267844983,1,1,8.728697780862392e-22
LEF1,lymphoid enhancer binding factor 1,5.371657810182288e-26,0.40084269300745845,1,1,9.41973913593566e-22
SMYD3,SET and MYND domain containing 3,5.647898719636747e-26,-0.6174408061304422,1,1,9.904155194754999e-22
RPS21,ribosomal protein S21,5.711333104061701e-26,0.5262787464493921,1,1,1.00153937312826e-21
STAMBPL1,STAM binding protein like 1,8.546429177414041e-26,-0.3835073247699414,1,1,1.4987018205513262e-21
DAPK2,death associated protein kinase 2,8.54856858777077e-26,-0.5171159007162196,1,1,1.4990769875514822e-21
ZCCHC7,zinc finger CCHC-type containing 7,8.628449733473346e-26,-0.5326299822511333,1,1,1.513084945261886e-21
GAPDH,glyceraldehyde-3-phosphate dehydrogenase,8.869187034520711e-26,0.5355033479614115,1,1,1.5553006383735518e-21
KLRF1,killer cell lectin like receptor F1,9.1334030962298415e-26,-0.5747209769026367,1,1,1.601633566954865e-21
RPS16,ribosomal protein S16,9.258273950556711e-26,0.49234304958202646,1,1,1.6235309199696248e-21
SIK3,SIK family kinase 3,9.258583203187858e-26,-0.5275170627204768,1,1,1.623585150511023e-21
RPS19,ribosomal protein S19,9.599782504028098e-26,0.5673758546745935,1,1,1.6834178599063672e-21
