symbols,desc,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
IGLL5,immunoglobulin lambda like polypeptide 5,3.292877836656326e-93,0.9103327470050586,1,1,5.774390574360533e-89
GAPDH,glyceraldehyde-3-phosphate dehydrogenase,1.3584644473816485e-70,1.1750403343712725,1,1,2.382203254928459e-66
GZMB,granzyme B,8.626014007062156e-63,1.6900646191971775,1,1,1.5126578162784196e-58
LGALS1,galectin 1,3.0083419180344984e-62,1.185024257331613,1,1,5.275428387465296e-58
FKBP5,FKBP prolyl isomerase 5,3.4292061899897293e-50,0.9860295354282143,1,1,6.013455974765989e-46
UBASH3B,ubiquitin associated and SH3 domain containing B,9.481672237406702e-49,0.9081330380346095,1,1,1.6627060435516393e-44
GZMA,granzyme A,3.7812047652186096e-48,1.6142615262558189,1,1,6.630720676287354e-44
CCL5,C-C motif chemokine ligand 5,1.767705773386561e-44,1.5478266745263967,1,1,3.0998488442106733e-40
CKLF,chemokine like factor,2.0891539145941076e-43,0.7520765760790753,1,1,3.663540304632227e-39
TNFRSF18,TNF receptor superfamily member 18,4.0185821476995965e-42,0.7914055353447691,1,1,7.046985654206013e-38
SON,SON DNA and RNA binding protein,5.726683208986405e-42,0.7052027196297264,1,1,1.004231167527856e-37
NAMPT,nicotinamide phosphoribosyltransferase,1.4619306162938873e-40,-0.8725011943676184,1,1,2.5636415287329608e-36
GNLY,granulysin,1.2952929925161566e-38,1.5535389634256047,1,1,2.271425791676332e-34
KIR2DL4,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4",2.334926012434542e-36,0.5882231160450719,1,1,4.0945262554052125e-32
SAMSN1,"SAM domain, SH3 domain and nuclear localization signals 1",1.998963615173754e-34,0.8970315934077959,1,1,3.505382595568695e-30
AFF3,ALF transcription elongation factor 3,2.4362606247686783e-34,-0.8815828165653208,1,1,4.272226631594354e-30
CD63,CD63 molecule,2.719457485843823e-34,0.704768677925117,1,1,4.768840647175728e-30
ITGAE,integrin subunit alpha E,1.237553292120161e-33,0.8944841492849411,1,1,2.1701734530619142e-29
SOD2,superoxide dismutase 2,4.6625874351203906e-33,-0.7673976169726118,1,1,8.176313326227117e-29
PRF1,perforin 1,5.069267751984744e-33,0.8845920791827897,1,1,8.889467929880448e-29
SOCS1,suppressor of cytokine signaling 1,2.1463037938086156e-32,0.5689806146725804,1,1,3.7637583328227883e-28
GSTP1,glutathione S-transferase pi 1,8.261897740255115e-32,0.6227720516681796,1,1,1.448806387731137e-27
A2M,alpha-2-macroglobulin,1.8959771347422986e-31,-0.9608889972341077,1,1,3.324785503484095e-27
ATP5PF,ATP synthase peripheral stalk subunit F6,4.64078162365488e-31,0.5101427174686284,1,1,8.138074655241199e-27
ARL17B,ADP ribosylation factor like GTPase 17B,2.02201770642763e-30,-0.7047110302110091,1,1,3.545810249991492e-26
PPDPF,pancreatic progenitor cell differentiation and proliferation factor,1.9620755684869115e-28,0.5013324958785736,1,1,3.440695716898648e-24
ELOB,elongin B,2.070427373822871e-28,0.5161435819129581,1,1,3.630701442735787e-24
UBC,ubiquitin C,6.634238215468743e-28,0.5673132537712715,1,1,1.1633800134645988e-23
PZP,PZP alpha-2-macroglobulin like,1.0276649015380802e-27,-0.798353989768325,1,1,1.8021131713371776e-23
GZMK,granzyme K,1.3897483837368696e-27,0.9481698891973518,1,1,2.4370627657209744e-23
HLA-DRB1,"major histocompatibility complex, class II, DR beta 1",3.195652484379061e-27,0.5141240317082996,1,1,5.603896196607121e-23
IL32,interleukin 32,3.6760002856280045e-27,1.000541800826905,1,1,6.446234100877268e-23
ITGA1,integrin subunit alpha 1,4.290726688380382e-27,0.9817406589428694,1,1,7.524218320743838e-23
LGALS3,galectin 3,4.4196733553779814e-27,0.5601537774294836,1,1,7.750339195990829e-23
INPP4B,inositol polyphosphate-4-phosphatase type II B,7.57622000343259e-27,-0.7905095815843721,1,1,1.328565939801939e-22
BCL2L11,BCL2 like 11,4.825285254517305e-26,0.5125213014258025,1,1,8.461620222321547e-22
RPL17,ribosomal protein L17,6.665529337779502e-26,0.6429635019647351,1,1,1.1688672246730135e-21
CD81,CD81 molecule,6.685637673413816e-26,0.4999232535711269,1,1,1.1723934224098468e-21
CD7,CD7 molecule,8.310928446680598e-26,0.6584606865611176,1,1,1.4574044124099097e-21
HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",2.513485468542733e-25,0.48062866626055256,1,1,4.407648117636536e-21
SOD1,superoxide dismutase 1,4.765273540594418e-25,0.45746087167898675,1,1,8.356383680786372e-21
ID2,inhibitor of DNA binding 2,7.641118126229965e-25,0.7117288815827938,1,1,1.3399464746156866e-20
HMGN1,high mobility group nucleosome binding domain 1,9.61463030863148e-25,0.5205212721041701,1,1,1.6860215709216164e-20
ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,1.712120567448204e-24,0.7179740987919738,1,1,3.002374627077171e-20
