symbols,desc,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
COL26A1,collagen type XXVI alpha 1 chain,7.3656958589278685e-196,-2.1892592388664793,1,1,1.291648425821591e-191
CLN8,CLN8 transmembrane ER and ERGIC protein,3.857794749255741e-118,1.5790756800825,1,1,6.765028872294868e-114
FKBP5,FKBP prolyl isomerase 5,2.5479519402399685e-98,1.8270631059238616,1,1,4.468088522404809e-94
SEMA5A,semaphorin 5A,1.7893865916347388e-75,1.2604570245585502,1,1,3.137868327090678e-71
CCND3,cyclin D3,3.430164577415963e-73,1.2815702120908048,1,1,6.015136602956633e-69
HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",6.4875425899673e-73,1.30665070736827,1,1,1.1376554685766658e-68
IL6ST,interleukin 6 cytokine family signal transducer,7.821503274194867e-64,1.1947014085849699,1,1,1.3715788141628119e-59
FUT7,fucosyltransferase 7,1.1773051892306423e-57,1.0015314485311104,1,1,2.0645223798348543e-53
SOCS1,suppressor of cytokine signaling 1,1.9036043445242005e-56,0.9138806687532426,1,1,3.3381605785576382e-52
SOX4,SRY-box transcription factor 4,1.3557334407181775e-53,1.3140564139426054,1,1,2.377414161643396e-49
CXCR3,C-X-C motif chemokine receptor 3,4.301421929112276e-51,0.8145382954461884,1,1,7.542973494891287e-47
ARHGEF18,Rho/Rac guanine nucleotide exchange factor 18,7.189814417719793e-46,1.1467497426364583,1,1,1.260805856291343e-41
SRGAP2B,SLIT-ROBO Rho GTPase activating protein 2B,1.6681422768329635e-42,0.8483313299518993,1,1,2.925254296654285e-38
ARHGAP24,Rho GTPase activating protein 24,3.680816292577134e-42,-1.3010594271814817,1,1,6.454679450663262e-38
TCL1A,TCL1 family AKT coactivator A,1.6635828817454459e-41,1.42088065634836,1,1,2.917258941428814e-37
FHIP1A,FHF complex subunit HOOK interacting protein 1A,8.799273718202764e-40,1.2652470101624083,1,1,1.5430406392240367e-35
PTPRM,protein tyrosine phosphatase receptor type M,2.34123263109826e-39,0.9270425620267599,1,1,4.1055855418939086e-35
PLCB4,phospholipase C beta 4,5.008456837901148e-37,0.731345000067833,1,1,8.782829910943452e-33
STIM1,stromal interaction molecule 1,6.972442577611656e-37,0.8616070187106919,1,1,1.22268753040998e-32
TBC1D8,TBC1 domain family member 8,1.0432917675461682e-35,0.8788473164356692,1,1,1.8295164435689606e-31
LAMP5,lysosomal associated membrane protein family member 5,2.4335187241413244e-35,0.7756392084745314,1,1,4.2674184346542265e-31
SRGAP2,SLIT-ROBO Rho GTPase activating protein 2,5.057531922734708e-35,0.8920961629502329,1,1,8.868887979707585e-31
VIPR2,vasoactive intestinal peptide receptor 2,7.809170650333469e-35,0.7306066253561803,1,1,1.3694161652424771e-30
CCDC138,coiled-coil domain containing 138,5.3918633703647045e-34,0.796519707265074,1,1,9.455171606271546e-30
BCL2L11,BCL2 like 11,3.167288201181926e-33,0.6590227917881784,1,1,5.554156589592625e-29
TRPM2,transient receptor potential cation channel subfamily M member 2,2.7819640498264676e-32,0.7390258546113333,1,1,4.878452157775694e-28
ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",2.945709400506677e-32,0.6897342877128549,1,1,5.165596004728509e-28
MRPS6,mitochondrial ribosomal protein S6,1.834927412586719e-30,0.5726199473327132,1,1,3.21772871071207e-26
THEMIS2,thymocyte selection associated family member 2,1.9409357450159315e-30,0.6779442062613035,1,1,3.403624922459937e-26
