symbols,desc,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CXCL8,C-X-C motif chemokine ligand 8,2.679977432438282e-16,-1.8578149741019505,0.386,0.968,4.699608425523772e-12
GNLY,granulysin,6.097243813253562e-16,-3.9096182769727674,0.281,0.935,1.0692126750921446e-11
LINGO1,leucine rich repeat and Ig domain containing 1,8.74663198605045e-12,-1.1241697382273557,0.088,0.694,1.533809385073807e-7
PI3,peptidase inhibitor 3,9.601770788801185e-10,-0.7600492072792475,0,0.5,1.6837665255241758e-5
MT-ND6,NA,1.0245661628686845e-9,-1.6902062513091265,0.737,0.952,1.7966792232065252e-5
IGLL5,immunoglobulin lambda like polypeptide 5,2.96212423502576e-9,1.907667710625915,0.719,0.306,5.194381058541173e-5
CD247,CD247 molecule,7.881754140835245e-9,-2.341400454448025,0.14,0.661,1.3821444061368687e-4
RHD,Rh blood group D antigen,2.760406809100539e-8,0.8101046079278298,0.491,0.032,4.8406493804387053e-4
SOX5,SRY-box transcription factor 5,9.162334148346798e-8,-2.9323991697798064,0.298,0.742,0.0016067069162540944
TXK,TXK tyrosine kinase,2.5502138670960875e-7,-1.7237190438015255,0.088,0.532,0.004472055037339699
CTSW,cathepsin W,5.130575381413715e-7,-1.2385896488642494,0.035,0.435,0.008996976988847091
KLRB1,killer cell lectin like receptor B1,6.050931547562044e-7,-1.317063706887334,0.105,0.532,0.0106109135618048
TNFRSF11B,TNF receptor superfamily member 11b,6.994841760316827e-7,1.4569093280065721,0.421,0.032,0.012266154510891587
SKAP1,src kinase associated phosphoprotein 1,1.5733894775448094e-6,-1.8322343926852065,0.123,0.532,0.027590957878225776
PTPRM,protein tyrosine phosphatase receptor type M,1.7598777519083583e-6,0.8270209564038997,0.667,0.21,0.03086121625746497
TRABD2A,TraB domain containing 2A,1.9853463965295007e-6,1.0281968918306519,0.614,0.177,0.034815034409541326
ACVR2A,activin A receptor type 2A,2.614783851178132e-6,-1.5133206411121973,0.667,0.887,0.04585284961425973
NAMPT,nicotinamide phosphoribosyltransferase,3.4017966355133477e-6,-1.018096760443283,0.596,0.855,0.05965390580036206
BLVRA,biliverdin reductase A,3.846136996801736e-6,-1.761737557432017,0.789,0.919,0.06744585837591524
PCGF5,polycomb group ring finger 5,4.023404373205026e-6,-1.3389822841516108,0.579,0.839,0.07055441908852333
HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",4.1567020089867096e-6,1.9893551656279858,0.842,0.694,0.07289192642959094
CCL19,C-C motif chemokine ligand 19,4.653692382063068e-6,-2.11182886925193,0.439,0.774,0.08160714961185796
STK17A,serine/threonine kinase 17a,6.3453549131368675e-6,-1.5188329116511445,0.596,0.823,0.11127214375676811
ENSG00000282278,NA,8.650282112618976e-6,-0.6400827718832902,0.246,0.677,0.15169134712688637
