symbols,desc,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
IGLL5,immunoglobulin lambda like polypeptide 5,1.675164030377732e-85,6.119088491835954,0.915,0.177,2.9375676436703907e-81
HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",1.7346621703784045e-59,2.375716822763725,0.976,0.809,3.04190358197557e-55
CXCL8,C-X-C motif chemokine ligand 8,8.48088427802951e-55,-2.603976351279403,0.321,0.872,1.487207866995255e-50
FKBP5,FKBP prolyl isomerase 5,1.2648243786634619e-42,1.8011567811142748,0.976,0.757,2.2179960304242467e-38
ATP5PF,ATP synthase peripheral stalk subunit F6,1.925834376942428e-37,1.3020582758094843,0.981,0.779,3.3771431634062415e-33
SUMO3,small ubiquitin like modifier 3,2.078035513440142e-37,1.1627791563822711,0.981,0.665,3.644043076368633e-33
SOD1,superoxide dismutase 1,8.803568813348786e-36,1.2340653010078215,0.953,0.657,1.5437938271088432e-31
HMGN1,high mobility group nucleosome binding domain 1,3.180127483709664e-35,1.178501186356855,0.995,0.894,5.576671555433267e-31
ITGB2,integrin subunit beta 2,7.843989888043585e-34,1.2458945169582827,0.976,0.828,1.375522066767323e-29
CCND3,cyclin D3,1.0771904196831651e-33,1.1791643626796522,0.981,0.649,1.8889611199563982e-29
ATP5PO,ATP synthase peripheral stalk subunit OSCP,3.2560985224611134e-33,1.162964208631116,0.962,0.698,5.709894368987808e-29
DBI,"diazepam binding inhibitor, acyl-CoA binding protein",6.937833211769194e-33,1.2752648614456552,0.981,0.826,1.2166184320158459e-28
CCT8,chaperonin containing TCP1 subunit 8,9.75936068679628e-33,1.215669521562595,0.967,0.738,1.7114014900365957e-28
RPS4X,ribosomal protein S4 X-linked,1.3692805028455578e-32,1.1373106334944296,0.991,0.986,2.40117028978997e-28
RABAC1,Rab acceptor 1,1.353245331856978e-31,1.0085271873531616,0.91,0.542,2.3730510139443965e-27
RACK1,receptor for activated C kinase 1,5.778765975215282e-30,1.0331564900032086,1,0.94,1.0133644014137518e-25
UQCR10,"ubiquinol-cytochrome c reductase, complex III subunit X",4.1435966662241916e-29,1.0300088467889452,0.986,0.807,7.2662111138907425e-25
U2AF1,U2 small nuclear RNA auxiliary factor 1,6.448288450651649e-29,1.0714530829065771,0.972,0.747,1.130771862706273e-24
CSTB,cystatin B,1.8186754830293693e-28,0.9776035100471008,0.972,0.687,3.189229327040302e-24
