symbols,desc,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CXCL8,C-X-C motif chemokine ligand 8,4.549816994744054e-219,-1.9406223860249843,0.257,0.858,7.978559081983174e-215
IGLL5,immunoglobulin lambda like polypeptide 5,5.099140924851339e-196,1.2736048367469013,0.555,0.143,8.941853525819308e-192
FKBP5,FKBP prolyl isomerase 5,5.952152954679143e-106,1.770815019563139,0.832,0.611,1.0437695421325346e-101
GPC6,glypican 6,4.603500310731346e-104,0.8540453317698398,0.599,0.204,8.072698144898488e-100
PARP8,poly(ADP-ribose) polymerase family member 8,9.584536963695255e-104,1.0288941585889793,0.888,0.553,1.6807444019536e-99
GIMAP4,"GTPase, IMAP family member 4",2.536889528714943e-103,0.6102073992193158,0.344,0.082,4.448689477554524e-99
SON,SON DNA and RNA binding protein,4.601756723713495e-92,0.779697047086878,0.986,0.862,8.069640590703985e-88
RPS10,ribosomal protein S10,8.737980667196456e-91,0.8002631532598654,0.977,0.926,1.5322922897995704e-86
RPS3A,ribosomal protein S3A,2.312031076502448e-90,0.8062385995962371,0.991,0.973,4.054377695754693e-86
RPL17,ribosomal protein L17,2.5970593554093864e-90,0.9106556593649242,0.961,0.846,4.5542032856459e-86
RACK1,receptor for activated C kinase 1,8.088697245888429e-89,0.9180889180607705,0.983,0.896,1.418433949038995e-84
RPS19,ribosomal protein S19,3.246485987921684e-87,0.7760425729139326,0.989,0.978,5.693037828419465e-83
RHD,Rh blood group D antigen,3.096714765177979e-82,0.34080240059262923,0.244,0.05,5.430399012216104e-78
IL32,interleukin 32,2.120887511052459e-80,1.3811869156451917,0.728,0.454,3.719188339381592e-76
RPL36A,ribosomal protein L36a,2.834106887591983e-80,0.8200078393099401,0.97,0.84,4.9698898380813015e-76
ATP5PO,ATP synthase peripheral stalk subunit OSCP,3.9521772887822316e-79,0.7020177031403358,0.792,0.498,6.930538093608521e-75
SLC35F1,solute carrier family 35 member F1,1.7615591482926057e-76,0.4570751820294312,0.269,0.067,3.0890701224459133e-72
RPS2,ribosomal protein S2,2.7401511338446943e-75,0.8272841737124219,0.983,0.971,4.805129028310056e-71
RPL28,ribosomal protein L28,5.403330706718332e-75,0.7242954955148715,0.986,0.985,9.475280727301267e-71
HMGN1,high mobility group nucleosome binding domain 1,1.2220985966477331e-74,0.7924588919448095,0.947,0.797,2.143072099081465e-70
RPL18,ribosomal protein L18,1.897717076298433e-70,0.721932198833477,0.981,0.951,3.327836664996932e-66
RPL37A,ribosomal protein L37a,2.022298928828123e-70,0.7210866605771464,0.991,0.977,3.546303401592996e-66
RPS15A,ribosomal protein S15a,6.690693435749381e-69,0.6905878234286567,0.984,0.976,1.1732800008930115e-64
RPL10,ribosomal protein L10,1.1799251705751425e-68,0.7115623959947257,0.994,0.993,2.0691167791205697e-64
RPL18A,ribosomal protein L18a,4.004325064548545e-68,0.7233499901553033,0.98,0.961,7.021984433192328e-64
RPL19,ribosomal protein L19,7.226979259894487e-68,0.6921772403835256,0.988,0.974,1.2673230830150972e-63
RPLP0,ribosomal protein lateral stalk subunit P0,2.9428561741002516e-67,0.8592489725051622,0.978,0.894,5.160592586902201e-63
RPL26,ribosomal protein L26,8.832802750195512e-67,0.6815976655118288,0.988,0.972,1.5489202902742849e-62
ADGRG5,adhesion G protein-coupled receptor G5,2.139465352494642e-66,0.5174479578541232,0.26,0.068,3.7517664421346044e-62
RPL7A,ribosomal protein L7a,2.1828165485611903e-65,0.7127171485023265,0.984,0.961,3.827787099556904e-61
RPL8,ribosomal protein L8,3.631899260950635e-64,0.6486146739672201,0.983,0.928,6.368898544003034e-60
RPS3,ribosomal protein S3,1.0496984900393239e-63,0.7042055455311971,0.988,0.968,1.8407512721329584e-59
RPL23A,ribosomal protein L23a,1.2662001113623797e-63,0.655791421248658,0.984,0.958,2.220408515285069e-59
RPL21,ribosomal protein L21,2.793106184139513e-62,0.5963695350572884,0.988,0.972,4.89799100450705e-58
RPL35,ribosomal protein L35,4.449480913085594e-62,0.6277013513714458,0.986,0.941,7.802609729186897e-58
RPS18,ribosomal protein S18,6.7531037608884836e-62,0.7197188891370443,0.988,0.985,1.1842242755094045e-57
HLA-A,"major histocompatibility complex, class I, A",1.8824695235427102e-61,0.6198116869386823,0.991,0.963,3.3010985564844964e-57
RPS8,ribosomal protein S8,8.707111729736869e-61,0.7775073403961166,0.986,0.964,1.5268791129266573e-56
HLA-B,"major histocompatibility complex, class I, B",3.0346518019479177e-60,0.5839404504774519,0.997,0.982,5.321565399895868e-56
RPS4X,ribosomal protein S4 X-linked,4.16909188585354e-60,0.7578139253307006,0.978,0.969,7.310919531032768e-56
RPS5,ribosomal protein S5,5.011936447050853e-60,0.6813965993474063,0.98,0.911,8.788931753548376e-56
RPL35A,ribosomal protein L35a,1.1606053982469054e-59,0.6269822270615171,0.983,0.957,2.0352376263657734e-55
RPS7,ribosomal protein S7,2.9126266099472814e-59,0.6749821009372847,0.988,0.956,5.1075820232035525e-55
RPL12,ribosomal protein L12,3.4528187262583986e-58,0.6686443245015603,0.984,0.954,6.054862918366728e-54
RPS24,ribosomal protein S24,7.395230197787059e-58,0.661003569485044,0.989,0.983,1.2968275674839386e-53
RPL41,ribosomal protein L41,8.35061119637312e-58,0.5772299575692639,0.989,0.996,1.4643631793959903e-53
RPS12,ribosomal protein S12,2.29869134627807e-57,0.696840283894427,0.989,0.987,4.0309851448332234e-53
RPS23,ribosomal protein S23,1.1047935449677367e-56,0.6431492585398662,0.984,0.982,1.937365960455423e-52
TMSB10,thymosin beta 10,3.8338758363087036e-56,0.9063575175971161,0.975,0.922,6.723084666550942e-52
RPSA,ribosomal protein SA,5.8585091460556635e-56,0.6513839566903177,0.974,0.912,1.0273481638523212e-51
FAU,FAU ubiquitin like and ribosomal protein S30 fusion,7.079861343585092e-56,0.5779010868019507,0.989,0.936,1.2415244852110819e-51
RPS16,ribosomal protein S16,8.310479597928989e-56,0.659955058921732,0.98,0.936,1.4573257022928275e-51
RPS21,ribosomal protein S21,1.656048088852978e-55,0.5856669285856881,0.994,0.964,2.904045928612582e-51
ATP5PF,ATP synthase peripheral stalk subunit F6,2.5450519920156378e-55,0.6527861858086632,0.868,0.658,4.4630031731986223e-51
CD300LF,CD300 molecule like family member f,2.66238829004544e-55,-0.9152445786287822,0.334,0.652,4.6687641054236836e-51
PCID2,PCI domain containing 2,2.9030983706736403e-55,0.7274494465475052,0.641,0.396,5.0908733028132954e-51
RPS25,ribosomal protein S25,6.267944028311755e-55,0.5875542689148263,0.978,0.941,1.0991466648047494e-50
RPS27A,ribosomal protein S27a,6.879754191186196e-55,0.5487755204189693,0.989,0.987,1.2064336949664115e-50
RPL37,ribosomal protein L37,7.019590237055208e-55,0.6323448045258724,0.983,0.985,1.2309553439700014e-50
RPL29,ribosomal protein L29,1.5052129441181024e-54,0.6118954373171954,0.98,0.954,2.6395414188055045e-50
CCT8,chaperonin containing TCP1 subunit 8,1.635066789314959e-54,0.6209936368907575,0.754,0.507,2.867253121742712e-50
NAMPT,nicotinamide phosphoribosyltransferase,2.1529363329004138e-54,-0.8064776085332697,0.434,0.701,3.7753891533741655e-50
RPS15,ribosomal protein S15,1.153094160958021e-53,0.5904771609926365,0.981,0.958,2.0220659206559855e-49
