symbols,desc,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
IGLL5,immunoglobulin lambda like polypeptide 5,1.3925504752500321e-151,1.602737021352741,0.878,0.251,2.4419765133984563e-147
PI3,peptidase inhibitor 3,2.732696540844176e-146,-1.7662358233904287,0.018,0.463,4.792056654024347e-142
LINGO1,leucine rich repeat and Ig domain containing 1,4.620813432963842e-133,-1.045665377043746,0.113,0.628,8.103058436045393e-129
ARL17B,ADP ribosylation factor like GTPase 17B,1.510899959978762e-129,-1.6952447307094842,0.092,0.58,2.649514169818757e-125
GNLY,granulysin,1.8518788312354028e-118,-1.1177913227083496,0.253,0.766,3.2474547184544025e-114
HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",1.4794928205956797e-117,2.362543628547736,0.85,0.382,2.594438610196584e-113
MT-ND6,NA,6.027054329235655e-103,-2.1426509532982214,0.276,0.709,1.0569042471747645e-98
KCNQ5,potassium voltage-gated channel subfamily Q member 5,5.60245703908852e-89,-1.0247952917212442,0.035,0.376,9.824468663745629e-85
CD247,CD247 molecule,8.509394237721788e-89,-1.2065582869659233,0.062,0.439,1.4922073735268926e-84
NEBL,nebulette,1.9619382010985893e-86,-2.0214601333466624,0.005,0.259,3.440454829446486e-82
CTSC,cathepsin C,4.162291627719637e-85,-2.4381020475715047,0.317,0.711,7.2989945983691555e-81
PCDH9,protocadherin 9,4.745341303540636e-85,-0.9583883768203836,0.01,0.278,8.321430509888859e-81
CROCC,"ciliary rootlet coiled-coil, rootletin",1.502558663174765e-82,-0.8419889225493902,0.078,0.442,2.634886871743268e-78
SKAP1,src kinase associated phosphoprotein 1,3.793231194956747e-81,-1.0943468187799996,0.046,0.382,6.651810223476152e-77
TXK,TXK tyrosine kinase,6.5129483315649336e-80,-1.0338754861190536,0.053,0.395,1.1421106194232268e-75
TOX,thymocyte selection associated high mobility group box,1.9919229899287835e-77,-1.0221292965395048,0.063,0.414,3.493036155139115e-73
ARHGAP15,Rho GTPase activating protein 15,4.113491098421465e-73,-1.6451019010355006,0.481,0.887,7.213417990191882e-69
CD96,CD96 molecule,1.7754965996850429e-71,-1.0435747729464377,0.038,0.331,3.1135108372076914e-67
AFF3,ALF transcription elongation factor 3,5.37129138419488e-71,-1.1117191250939804,0.161,0.582,9.419096571324141e-67
H1-4,"H1.4 linker histone, cluster member",6.926351411083252e-71,-1.3646542643749404,0.122,0.476,1.2146049834475592e-66
NCALD,neurocalcin delta,3.816220777591914e-69,-0.8302159554921693,0.024,0.287,6.692124755585181e-65
ATM,ATM serine/threonine kinase,5.305145596252994e-64,-1.3552933801166736,0.273,0.654,9.303103317589251e-60
POLR2J3.1,NA,7.431813121615256e-63,-1.122235300990094,0.276,0.62,1.3032427490064512e-58
INSYN2B,inhibitory synaptic factor family member 2B,2.632875282683807e-60,-0.6691561067011642,0.071,0.365,4.617010095714324e-56
SHOC1,shortage in chiasmata 1,5.62651477078832e-60,-0.6633918349938174,0.02,0.242,9.866656302054397e-56
SLC25A13,solute carrier family 25 member 13,7.35789535439092e-58,-1.622988702728973,0.544,0.815,1.290280529345992e-53
IL2RB,interleukin 2 receptor subunit beta,1.2081186911812891e-57,-0.5243216422957782,0.02,0.24,2.1185569368555086e-53
KLRB1,killer cell lectin like receptor B1,2.634429641525859e-57,-0.6839003117793888,0.057,0.335,4.619735819379746e-53
TBC1D5,TBC1 domain family member 5,4.517109896348036e-56,-1.9119905216708055,0.439,0.749,7.921203914235917e-52
BCOR,BCL6 corepressor,8.224952726447646e-56,-0.7748296722197447,0.204,0.565,1.4423277101098592e-51
CTSW,cathepsin W,3.1542704563745167e-55,-0.417564879021174,0.024,0.244,5.531328672298352e-51
KRT86,keratin 86,5.902268730104791e-54,-0.3553695975680557,0.007,0.18,1.035021844511176e-49
CD7,CD7 molecule,7.848086695035907e-54,-0.49477727335360755,0.044,0.293,1.3762404828414968e-49
