symbols,desc,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ARL17B,ADP ribosylation factor like GTPase 17B,7.146024330107565e-199,-2.123813305949258,0.067,0.765,1.2531268265276625e-194
PI3,peptidase inhibitor 3,3.383094597138832e-184,-2.070358332853351,0.017,0.613,5.932594685542656e-180
MT-ND6,NA,1.259458049612685e-162,-2.52867612396187,0.276,0.921,2.2085856358008045e-158
GNLY,granulysin,2.2408092462089864e-145,-1.401680630459468,0.261,0.909,3.9294830941520784e-141
HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2",5.125522768271048e-137,-1.5300394208292398,0.011,0.46,8.988116726440109e-133
IGLL5,immunoglobulin lambda like polypeptide 5,6.636492839091798e-135,1.7183712944269776,0.953,0.331,1.1637753842631377e-130
LINGO1,leucine rich repeat and Ig domain containing 1,1.8338924955028556e-126,-1.105410162315908,0.101,0.657,3.2159138801138074e-122
HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",7.095089678648572e-122,2.8066165049924443,0.896,0.311,1.2441949260478136e-117
CROCC,"ciliary rootlet coiled-coil, rootletin",6.629592267707492e-115,-1.0722080423344493,0.067,0.563,1.1625653000651857e-110
NEBL,nebulette,1.1739117822042284e-110,-2.385710778066691,0.005,0.358,2.058571701273335e-106
CTSC,cathepsin C,5.128938647485875e-102,-2.806245959068041,0.306,0.804,8.994106812231231e-98
H1-4,"H1.4 linker histone, cluster member",1.2472997465976537e-98,-1.6636506810169815,0.128,0.625,2.1872648356336455e-94
CD247,CD247 molecule,7.547732257900772e-98,-1.429271724933472,0.064,0.525,1.3235703287454793e-93
SKAP1,src kinase associated phosphoprotein 1,1.0091703607184764e-94,-1.2896798242614853,0.047,0.469,1.7696811445559204e-90
KCNQ5,potassium voltage-gated channel subfamily Q member 5,3.4616533838781346e-94,-1.2053549004355084,0.037,0.44,6.070355373968697e-90
PCDH9,protocadherin 9,8.857296903887591e-93,-1.113451724280147,0.009,0.328,1.553215585065728e-88
TOX,thymocyte selection associated high mobility group box,1.7745594870588979e-90,-1.2760179424048537,0.063,0.501,3.1118675165064834e-86
SLC25A13,solute carrier family 25 member 13,1.2991439032193579e-88,-1.9952392164779922,0.542,0.924,2.278178748685466e-84
POLR2J3.1,NA,1.0026286655440272e-86,-1.41496182977736,0.261,0.727,1.7582096278980063e-82
CD96,CD96 molecule,6.438411533907351e-84,-1.2173935213255174,0.038,0.408,1.1290398465859931e-79
TXK,TXK tyrosine kinase,2.672225744649316e-81,-1.1661414894003124,0.054,0.446,4.686015065817041e-77
AFF3,ALF transcription elongation factor 3,6.988809004602948e-80,-1.397270616805806,0.162,0.672,1.2255575470471728e-75
TTC39C,tetratricopeptide repeat domain 39C,1.0164722164556658e-79,-1.4564122612493742,0.148,0.622,1.7824856787766557e-75
TBC1D5,TBC1 domain family member 5,4.499954996773469e-79,-2.3440054941115376,0.428,0.85,7.891121082341956e-75
NCALD,neurocalcin delta,1.0194175498013533e-78,-0.9704393977723573,0.024,0.346,1.7876506153316533e-74
LNPEP,leucyl and cystinyl aminopeptidase,1.4705806554075102e-78,-1.7970505894864126,0.339,0.806,2.57881023732261e-74
KANSL1,KAT8 regulatory NSL complex subunit 1,1.5005185281950693e-78,-1.8546791187973666,0.636,0.938,2.6313092910428734e-74
ANKRD44,ankyrin repeat domain 44,2.1041533352864394e-78,-2.0803310544194327,0.624,0.953,3.6898432887583e-74
ATM,ATM serine/threonine kinase,7.461283985311175e-78,-1.6481537731654519,0.263,0.733,1.3084107596641677e-73
SHOC1,shortage in chiasmata 1,2.994392930451752e-75,-0.8415566228252823,0.022,0.323,5.250967442840193e-71
ARHGAP15,Rho GTPase activating protein 15,3.5924676565418384e-75,-1.9670801430161282,0.465,0.921,6.299751282511768e-71
MBNL1,muscleblind like splicing regulator 1,6.838265280075234e-74,-1.9731199115207905,0.832,0.991,1.199158199513993e-69
INSYN2B,inhibitory synaptic factor family member 2B,1.4862804540414296e-73,-0.8410432087426278,0.074,0.457,2.606341404207051e-69
LRRC37A2,leucine rich repeat containing 37 member A2,2.8503057904506056e-73,-0.8236789003129683,0.075,0.455,4.998296234134182e-69
ZNF638,zinc finger protein 638,9.646482238231625e-73,-1.6038372816670468,0.574,0.891,1.6916071252962977e-68
EPC2,enhancer of polycomb homolog 2,1.4252762784613533e-72,-1.5254972027081324,0.329,0.765,2.499364481909829e-68
BCOR,BCL6 corepressor,2.2209422043134706e-71,-0.9895606172793477,0.198,0.66,3.894644249484102e-67
VPS13B,vacuolar protein sorting 13 homolog B,8.853793674021795e-71,-1.8068210130081683,0.641,0.912,1.5526012586764618e-66
PHF3,PHD finger protein 3,4.1661003693018207e-70,-1.4381495121800905,0.361,0.777,7.305673607607672e-66
PRPF4B,pre-mRNA processing factor 4B,1.5993484322778197e-69,-1.397182617312387,0.422,0.806,2.8046174108423845e-65
FCHSD2,FCH and double SH3 domains 2,8.610706756001288e-69,-2.614779327770463,0.713,0.933,1.509973536732386e-64
PNISR,PNN interacting serine and arginine rich protein,7.621028442031663e-68,-1.3737550279756248,0.536,0.877,1.3364235475946724e-63
MT-ATP8,NA,1.5832255248384894e-67,-1.7245016286001502,0.914,0.953,2.776344280356775e-63
TNRC6B,trinucleotide repeat containing adaptor 6B,2.960191499387837e-67,-1.6955124951153908,0.377,0.804,5.190991813326512e-63
DOCK8,dedicator of cytokinesis 8,5.5663420674755756e-67,-1.9562646684709941,0.584,0.921,9.76113744952517e-63
FYB1,FYN binding protein 1,6.42865140616264e-67,-2.0981385399825494,0.67,0.93,1.1273283105846804e-62
GSK3B,glycogen synthase kinase 3 beta,2.60452929192237e-66,-1.509966862567005,0.564,0.9,4.567302566315068e-62
VPS13C,vacuolar protein sorting 13 homolog C,2.9671832037527193e-66,-1.8258612231703983,0.643,0.883,5.203252466100769e-62
TLR1,toll like receptor 1,2.987743796055975e-66,-1.683655094697265,0.449,0.833,5.239307520763758e-62
DLG1,discs large MAGUK scaffold protein 1,2.6826037235414367e-65,-1.4184088908336676,0.296,0.736,4.7042138896022634e-61
