symbols,desc,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CXCL8,C-X-C motif chemokine ligand 8,2.095002683413954e-25,-2.0823048270291737,0.346,0.972,3.67379670563471e-21
PI3,peptidase inhibitor 3,5.3634081944294905e-21,-2.1095246037801187,0.007,0.556,9.405272609751555e-17
ARL17B,ADP ribosylation factor like GTPase 17B,3.2434143348508755e-20,-2.1686701565855295,0.257,0.806,5.687651377594495e-16
LINGO1,leucine rich repeat and Ig domain containing 1,9.726754494514307e-19,-1.1307117311150963,0.14,0.708,1.7056836681580287e-14
GNLY,granulysin,2.6724844365694313e-17,-1.9906013019977506,0.375,0.917,4.686468707968154e-13
ENSG00000267645,NA,5.126088173396804e-15,-0.8376142955110778,0.169,0.694,8.989108220868636e-11
MT-ND6,NA,7.978924102609086e-15,-1.8705403602708577,0.566,0.875,1.3991841306335294e-10
SHOC1,shortage in chiasmata 1,1.107633651327519e-14,-1.205340150790763,0.11,0.583,1.9423463709679372e-10
TOX,thymocyte selection associated high mobility group box,1.5031943560921734e-14,-1.6377277212234067,0.074,0.556,2.636001622843235e-10
IGLL5,immunoglobulin lambda like polypeptide 5,1.6148604639939663e-14,2.1147130964761622,0.713,0.222,2.8318193096598195e-10
KLRB1,killer cell lectin like receptor B1,5.0749301893843964e-14,-1.1076407231879697,0.037,0.458,8.899397580104477e-10
SPDYE2,speedy/RINGO cell cycle regulator family member E2,1.917915651265883e-13,-0.7221421508495963,0.088,0.542,3.3632568860598524e-9
TTC39B,tetratricopeptide repeat domain 39B,2.547964381364797e-13,-1.577462398210405,0.066,0.5,4.468110339161308e-9
ZNF710,zinc finger protein 710,2.877114561874103e-13,-1.4429466891249207,0.846,0.972,5.0453080957024274e-9
KANSL1,KAT8 regulatory NSL complex subunit 1,8.969846548437572e-13,-1.2638959735159472,0.824,0.972,1.5729522907340127e-8
DLG1,discs large MAGUK scaffold protein 1,1.908442970780114e-12,-1.2713237792982548,0.596,0.931,3.3466455935600075e-8
DOCK10,dedicator of cytokinesis 10,2.0493988891249013e-12,-1.3942522356416953,0.875,1,3.593825891969427e-8
QKI,"QKI, KH domain containing RNA binding",2.935710558215085e-12,-1.2642301746887306,0.904,0.972,5.148062034885973e-8
CD247,CD247 molecule,4.606409864811995e-12,-1.7665300517083442,0.118,0.556,8.077800338934314e-8
TRAF3IP3,TRAF3 interacting protein 3,4.983461173928458e-12,-1.1824349896590103,0.478,0.847,8.738997514600944e-8
DARS1,aspartyl-tRNA synthetase 1,5.0535067985422175e-12,-1.1985249150553232,0.61,0.944,8.861829521923632e-8
H1-4,"H1.4 linker histone, cluster member",8.519072744407687e-12,-1.726595057096632,0.39,0.75,1.493904596459332e-7
POLR2J3.1,NA,9.98880723532892e-12,-1.1513350244167246,0.559,0.861,1.7516372367872794e-7
NQO2,N-ribosyldihydronicotinamide:quinone reductase 2,1.252230409144937e-11,-0.9985744118989336,0.375,0.806,2.1959112454765616e-7
SRRM2,serine/arginine repetitive matrix 2,1.2934149062099859e-11,-1.0662732194191662,0.846,0.931,2.2681323795298313e-7
HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2",1.4561827793173302e-11,-0.8927602667736303,0.301,0.792,2.55356212181087e-7
FAR1,fatty acyl-CoA reductase 1,1.6871651960866204e-11,-1.0328266297424356,0.779,0.958,2.9586128878574976e-7
CPVL,carboxypeptidase vitellogenic like,1.9069039386890793e-11,-1.6158322861175618,0.551,0.861,3.3439467468851696e-7
VAV1,vav guanine nucleotide exchange factor 1,2.0681036915932278e-11,-1.3821573679374308,0.662,0.917,3.6266266335778843e-7
SLC25A13,solute carrier family 25 member 13,2.1252909026204575e-11,-1.4797290328705253,0.735,0.889,3.726910126835234e-7
TANK,TRAF family member associated NFKB activator,2.7083428912171078e-11,-1.2086858818507347,0.882,0.972,4.74935009403832e-7
DOCK2,dedicator of cytokinesis 2,3.302020779393081e-11,-1.057925518534295,0.926,0.972,5.790423638743707e-7
MBNL1,muscleblind like splicing regulator 1,3.715215913017389e-11,-1.3297190818860685,0.956,1,6.515002625067293e-7
PGGT1B,protein geranylgeranyltransferase type I subunit beta,3.820777436650032e-11,-1.0720876153634233,0.515,0.819,6.700115312909496e-7
SETX,senataxin,3.9184441370982846e-11,-1.0772702060295494,0.809,0.944,6.871383638815551e-7
TET2,tet methylcytosine dioxygenase 2,4.3328972084021344e-11,-1.2801079191927354,0.816,0.958,7.598168544653983e-7
KMT2E,lysine methyltransferase 2E (inactive),4.686748055488628e-11,-1.0211604708821844,0.838,0.958,8.218681390104858e-7
CCNL1,cyclin L1,5.147427630906266e-11,-0.9490389830220283,0.647,0.917,9.026529093557228e-7
VPS13C,vacuolar protein sorting 13 homolog C,5.663129512419282e-11,-1.1751950681873713,0.86,0.986,9.930863912978453e-7
SPEN,spen family transcriptional repressor,6.601674343947026e-11,-1.0485231519839942,0.779,0.903,1.1576696129545505e-6
HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",9.017004375974673e-11,2.1699250014423126,0.838,0.736,1.5812218873709188e-6
