symbols,desc,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
EEF1A1,eukaryotic translation elongation factor 1 alpha 1,1.0367193095631473e-150,-1.6631094845712227,0.379,0.874,1.8179909812499352e-146
RPL10,ribosomal protein L10,4.9529984149483055e-130,-1.4698397167375234,0.328,0.82,8.685578020453349e-126
MT-CO1,NA,1.788180397587148e-126,-1.9448778993411366,0.516,0.908,3.135753145208823e-122
MT-ATP6,NA,3.494144211023841e-126,-1.6706012427111752,0.755,0.947,6.127331288451407e-122
RPS27,ribosomal protein S27,6.230417978476307e-122,-1.4067892985267445,0.37,0.826,1.0925660967056052e-117
TMSB4X,thymosin beta 4 X-linked,1.3169786691434243e-121,-1.4131234770545968,0.764,0.984,2.309453794209909e-117
MT-CO3,NA,8.766652827452686e-119,-1.6216140185330197,0.656,0.946,1.537320239822103e-114
GNLY,granulysin,1.0773434797435572e-117,-1.5167574468364948,0.097,0.634,1.889229526078302e-113
MT-ND4,NA,4.416844879057318e-106,-1.5114803515484243,0.623,0.897,7.745379179914913e-102
RPL41,ribosomal protein L41,8.1324954070814615e-105,-1.325657685699067,0.469,0.872,1.426114394585805e-100
RPLP1,ribosomal protein lateral stalk subunit P1,3.834426593021431e-102,-1.4878790040478798,0.386,0.811,6.724050473522381e-98
TANC2,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2",8.674929534399901e-97,-2.563839479753643,0.238,0.686,1.5212356431523666e-92
HLA-A,"major histocompatibility complex, class I, A",8.07524703004861e-94,-1.0886631024936115,0.687,0.934,1.4160753191893241e-89
RPL13,ribosomal protein L13,1.8787042182333185e-93,-1.3471731796891042,0.225,0.694,3.294495717093947e-89
MT-CYB,NA,2.5350805432164776e-92,-1.458567503847675,0.637,0.875,4.4455172405844154e-88
EIF1,eukaryotic translation initiation factor 1,2.7115746629864018e-92,-1.2196713242381005,0.626,0.908,4.755017329012954e-88
B2M,beta-2-microglobulin,1.913688230854265e-89,-0.9930783191851562,0.962,0.999,3.3558436816260396e-85
RPS27A,ribosomal protein S27a,9.589502752381919e-89,-1.267204466016636,0.255,0.699,1.6816152026576932e-84
CD74,CD74 molecule,5.783836846473784e-88,-0.9484668636563495,0.174,0.62,1.0142536293976427e-83
MT-CO2,NA,7.442384739775146e-86,-1.2374258548837922,0.767,0.954,1.3050965879669695e-81
HLA-C,"major histocompatibility complex, class I, C",1.9774908081473174e-84,-1.0875748337472688,0.637,0.893,3.467727881167136e-80
MT-ND1,NA,1.9219436984938404e-82,-1.2999116396336035,0.742,0.908,3.3703204696787984e-78
PTMA,prothymosin alpha,7.630514545217375e-80,-1.231947947245948,0.201,0.636,1.338087030649319e-75
MT-ND2,NA,1.5699901769293018e-79,-1.3102380521784904,0.654,0.864,2.753134774263224e-75
RHOA,ras homolog family member A,1.1319986079078495e-78,-1.258425484769755,0.408,0.762,1.985072758827205e-74
KRAS,"KRAS proto-oncogene, GTPase",8.636855070084654e-77,-1.1637070535742706,0.247,0.652,1.514558905090045e-72
CD63,CD63 molecule,1.422574782795346e-76,-1.2659984302381873,0.293,0.676,2.4946271391099186e-72
PSAP,prosaposin,3.000325075971611e-76,-1.2046026661117208,0.377,0.72,5.261370053223817e-72
VIM,vimentin,5.574111267519468e-76,-1.1924596513925567,0.247,0.668,9.77476151872214e-72
RPS6,ribosomal protein S6,1.805980296679461e-75,-1.045661061656608,0.163,0.581,3.1669670482571026e-71
TPT1,"tumor protein, translationally-controlled 1",3.9613602451817587e-75,-1.0347267043763888,0.808,0.97,6.946641325950732e-71
FCER1G,Fc epsilon receptor Ig,1.2049226898441529e-73,-1.3685211549619773,0.581,0.841,2.1129524289107066e-69
RPS29,ribosomal protein S29,5.595347033530423e-72,-1.1562074300637049,0.269,0.656,9.81200055799895e-68
ERO1A,endoplasmic reticulum oxidoreductase 1 alpha,1.3812845780031656e-71,-1.2483067564110153,0.198,0.599,2.4222206359863512e-67
RPL28,ribosomal protein L28,1.5571224198588055e-71,-1.1082698388483225,0.353,0.732,2.7305698754644012e-67
RPS12,ribosomal protein S12,3.34031129271383e-71,-1.2390508853832367,0.255,0.649,5.8575698829029724e-67
CD55,CD55 molecule (Cromer blood group),3.912314201524056e-71,-1.2141616716873715,0.685,0.885,6.860634183792585e-67
RPS28,ribosomal protein S28,4.272019356006475e-70,-1.126576702343617,0.299,0.681,7.491413142692954e-66
RPL3,ribosomal protein L3,5.943965524980648e-70,-0.995393935044318,0.148,0.545,1.0423337944606064e-65
TBC1D22A,TBC1 domain family member 22A,4.1628543919647774e-69,-1.25314574153524,0.359,0.691,7.299981461749434e-65
SERPINA1,serpin family A member 1,7.540112672714895e-69,-0.984523827175386,0.575,0.832,1.322234158287284e-64
DDX17,DEAD-box helicase 17,1.4092099684018468e-68,-0.9036945424975094,0.332,0.691,2.4711906005894786e-64
HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,2.65182212457481e-68,-0.8662376364836419,0.364,0.729,4.650235277654387e-64
AFF3,ALF transcription elongation factor 3,5.68477240758636e-68,-1.5223758310666933,0.033,0.425,9.96881689394344e-64
SKIL,SKI like proto-oncogene,2.370834281530119e-67,-1.0578755871148475,0.352,0.682,4.1574949960912165e-63
RPL11,ribosomal protein L11,3.393441045628458e-67,-1.0736976888409928,0.198,0.592,5.950738217614064e-63
RPL15,ribosomal protein L15,1.0898429144331579e-66,-0.92997503320093855,0.148,0.539,1.9111485347499856e-62
RPS19,ribosomal protein S19,2.853983073684639e-66,-0.9978961287558592,0.209,0.595,5.004744718013383e-62
GAPDH,glyceraldehyde-3-phosphate dehydrogenase,3.1750487029124447e-66,-1.1052380329150977,0.361,0.716,5.567765405427263e-62
RPS18,ribosomal protein S18,3.257779813946797e-66,-1.086801271476558,0.183,0.577,5.712842681737103e-62
MT-ND5,NA,1.172352149152839e-65,-1.1996428199919402,0.353,0.672,2.0558367287544185e-61
ENO1,enolase 1,3.9273137902780845e-65,-0.8686175927837978,0.159,0.546,6.886937462631649e-61
RPL9,ribosomal protein L9,4.844911983735329e-65,-0.8921735319891622,0.17,0.551,8.496037654678272e-61
RAP1B,"RAP1B, member of RAS oncogene family",1.4190485866577897e-64,-1.060209380695521,0.33,0.686,2.4884436015631e-60
CYRIB,CYFIP related Rac1 interactor B,2.4663877264869972e-64,-0.9483012083967939,0.789,0.937,4.3250575171675984e-60
RPS4X,ribosomal protein S4 X-linked,3.598424368494313e-64,-1.0078238640860921,0.156,0.542,6.310196972591627e-60
DDX5,DEAD-box helicase 5,4.5614393544149015e-64,-0.9175612499673419,0.412,0.748,7.998940051901972e-60
PPP1CB,protein phosphatase 1 catalytic subunit beta,8.93632778684576e-64,-0.8902078880255251,0.357,0.694,1.5670744407012727e-59
TSC22D3,TSC22 domain family member 3,9.305367234176254e-64,-0.9595073950460732,0.313,0.658,1.631789198185148e-59
MT-ND3,NA,5.385274377730083e-63,-1.2502027836966452,0.731,0.904,9.443617148787474e-59
RPS3,ribosomal protein S3,8.15218766777739e-63,-0.9392972788017557,0.147,0.537,1.429567629421443e-58
RBPJ,recombination signal binding protein for immunoglobulin kappa J region,9.20190623837119e-63,-1.1571789613268995,0.332,0.667,1.6136462779607717e-58
RAB10,"RAB10, member RAS oncogene family",2.112133102444393e-62,-1.2793314713541113,0.258,0.617,3.7038366084464875e-58
ABCA1,ATP binding cassette subfamily A member 1,2.73249743380464e-62,-1.3813389410356274,0.425,0.723,4.791707499919817e-58
RPL32,ribosomal protein L32,7.232125294456761e-62,-1.0476106089907011,0.229,0.609,1.2682254916359376e-57
RPLP2,ribosomal protein lateral stalk subunit P2,1.060411918053451e-61,-0.9518662185609192,0.156,0.532,1.8595383394985314e-57
BRI3,brain protein I3,1.4028226313334932e-61,-1.044574463001686,0.432,0.729,2.4599897663064136e-57
ATP13A3,ATPase 13A3,6.817597579937324e-61,-1.5081186455324744,0.447,0.768,1.1955339116178091e-56
TPI1,triosephosphate isomerase 1,6.830899228081366e-60,-0.8529866678778975,0.179,0.543,1.1978664886363483e-55
RPL37,ribosomal protein L37,8.222318448682742e-60,-1.0014930920323954,0.289,0.647,1.4418657631610056e-55
VOPP1,VOPP1 WW domain binding protein,1.6424213820326225e-59,-1.0496827975650995,0.344,0.671,2.8801501355324067e-55
RPL18A,ribosomal protein L18a,2.2064689187849796e-59,-0.9138718167888715,0.172,0.529,3.8692638959813404e-55
RPL37A,ribosomal protein L37a,3.2597683160473304e-59,-0.9294084050549924,0.152,0.517,5.7163297190205984e-55
RPL19,ribosomal protein L19,5.2597932994849975e-59,-0.9559209863315878,0.211,0.574,9.223573529976892e-55
RPS15A,ribosomal protein S15a,1.704331700469767e-58,-1.0707754094108468,0.181,0.547,2.9887160699437837e-54
FTH1,ferritin heavy chain 1,2.651251702916944e-58,-0.9934904624123941,0.96,0.997,4.649234986235153e-54
NCF2,neutrophil cytosolic factor 2,3.479621424387161e-58,-0.9516296528402952,0.548,0.797,6.101864129805326e-54
RPL6,ribosomal protein L6,5.8751480993102634e-58,-0.98923891300389,0.161,0.52,1.0302659706950478e-53
IFNGR1,interferon gamma receptor 1,2.0844443517553103e-57,-0.9392782618294566,0.385,0.681,3.655281615238112e-53
YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,3.458391316263191e-57,-0.8839670465332372,0.502,0.773,6.064635012199131e-53
GPCPD1,glycerophosphocholine phosphodiesterase 1,3.659426495941979e-57,-1.3874305381725285,0.636,0.854,6.417170303283855e-53
IL7R,interleukin 7 receptor,4.6528102008505777e-57,-1.2444331628126402,0.038,0.387,8.159167968211573e-53
S100A11,S100 calcium binding protein A11,5.106000489635708e-57,-1.0497018916067997,0.641,0.886,8.953882458625178e-53
C15orf48,chromosome 15 open reading frame 48,5.755728310913737e-57,-1.5423449239826152,0.61,0.824,1.0093245166018329e-52
DUSP16,dual specificity phosphatase 16,8.703251820959009e-57,-1.7278567920271577,0.11,0.461,1.5262022393233718e-52
RPS14,ribosomal protein S14,9.467330885499226e-57,-0.9775936863194339,0.218,0.568,1.6601911440811443e-52
PNRC1,proline rich nuclear receptor coactivator 1,2.15594952928287e-56,-0.9460920457466493,0.692,0.887,3.780673094550441e-52
