symbols,desc,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CXCL8,C-X-C motif chemokine ligand 8,4.4860537266633374e-219,-2.357652273155045,0.255,0.904,7.866743815076828e-215
IGLL5,immunoglobulin lambda like polypeptide 5,4.664334036494585e-165,1.2671888042761486,0.667,0.215,8.179376166396904e-161
IL32,interleukin 32,7.63290305095414e-99,1.2837028180804841,0.885,0.551,1.338505879015318e-94
FKBP5,FKBP prolyl isomerase 5,2.999345986383581e-95,1.674567914531498,0.844,0.635,5.259653121722247e-91
NAMPT,nicotinamide phosphoribosyltransferase,1.1147994204572976e-87,-1.1326691146839116,0.394,0.784,1.954912263713917e-83
RPL17,ribosomal protein L17,7.390686432770915e-80,0.8736108751099003,0.947,0.732,1.2960307728507077e-75
RPS10,ribosomal protein S10,8.415191962742789e-78,0.8652210012123689,0.962,0.858,1.4756880625865753e-73
PI3,peptidase inhibitor 3,5.3734884369794705e-74,-0.9531478258951357,0.005,0.392,9.422949323087199e-70
SOD2,superoxide dismutase 2,1.2703312769312104e-71,-1.1703113165896755,0.614,0.843,2.2276529272265706e-67
LINGO1,leucine rich repeat and Ig domain containing 1,5.694351842209066e-66,-0.6128297986251358,0.07,0.439,9.985615390497818e-62
C15orf48,chromosome 15 open reading frame 48,2.6309499314390184e-62,-1.160114687159938,0.133,0.495,4.6136337997714624e-58
RPL36A,ribosomal protein L36a,3.764200368465494e-61,0.7668287459980636,0.927,0.754,6.60090176614109e-57
RPL28,ribosomal protein L28,2.7761338902684865e-59,0.680517120249652,0.985,0.967,4.868228389974818e-55
PRMT2,protein arginine methyltransferase 2,2.659275197862566e-57,0.6661983749530429,0.932,0.707,4.663304986971796e-53
RPS3A,ribosomal protein S3A,2.157011826790059e-56,0.6463750426166333,0.98,0.943,3.7825359394590474e-52
ARL17B,ADP ribosylation factor like GTPase 17B,5.7830214525415134e-55,-1.3085584629707965,0.283,0.579,1.0141106419176798e-50
HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",4.7334464532595763e-54,0.43237247202589923,0.24,0.055,8.300571700435993e-50
GIMAP4,"GTPase, IMAP family member 4",1.7085671633673745e-52,0.5941493748064777,0.782,0.447,2.996143377681028e-48
RPL21,ribosomal protein L21,3.2850093298862294e-51,0.6157681350543474,0.977,0.935,5.760592360888492e-47
RPS3,ribosomal protein S3,2.569210865634661e-50,0.6217391288113543,0.978,0.949,4.505368173976942e-46
ZFP36L2,ZFP36 ring finger protein like 2,7.707163840445165e-50,0.6178986565729745,0.95,0.79,1.3515282510604642e-45
RPL37A,ribosomal protein L37a,7.823916753260598e-50,0.5977632775221338,0.983,0.952,1.3720020418517785e-45
TANC2,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2",1.0916399027217429e-49,-0.966135623972225,0.398,0.715,1.9142997334128484e-45
RPL26,ribosomal protein L26,5.243850930842086e-49,0.6164026052251863,0.972,0.945,9.195616992324683e-45
RPS25,ribosomal protein S25,1.0844002593653579e-48,0.598951889091492,0.973,0.891,1.9016042948230916e-44
RPL37,ribosomal protein L37,9.310823498090852e-48,0.6120015161815004,0.983,0.968,1.6327460086252117e-43
RPL36,ribosomal protein L36,7.751255456044444e-47,0.5889631456465554,0.98,0.909,1.3592601567719536e-42
RPL41,ribosomal protein L41,2.7414878617279842e-46,0.6039705288414696,0.988,0.99,4.807473114326193e-42
ATP5PF,ATP synthase peripheral stalk subunit F6,4.808751155271501e-46,0.5236191861082979,0.819,0.564,8.432626025884104e-42
RPL19,ribosomal protein L19,6.812202353839982e-46,0.5714344458710539,0.98,0.952,1.1945878047693794e-41
MAL,"mal, T cell differentiation protein",6.864966222122107e-46,0.36915637239665833,0.143,0.021,1.2038404767113326e-41
RPS21,ribosomal protein S21,4.368567864428172e-45,0.5562874122504402,0.977,0.939,7.660720607061242e-41
RPL35A,ribosomal protein L35a,5.486690939234437e-45,0.5557503032036939,0.97,0.927,9.621461231041509e-41
FAU,FAU ubiquitin like and ribosomal protein S30 fusion,3.1386142683734905e-44,0.5606021479982242,0.968,0.895,5.503873981019753e-40
RPS27A,ribosomal protein S27a,3.958732801608138e-44,0.554610405063392,0.983,0.969,6.942033840900031e-40
TMSB10,thymosin beta 10,4.533996040901203e-44,0.6181573748824465,0.977,0.914,7.950815457324349e-40
