symbols,desc,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CXCL8,C-X-C motif chemokine ligand 8,5.937346538324959e-111,-2.470972404477709,0.207,0.909,1.0411730889606647e-106
IGLL5,immunoglobulin lambda like polypeptide 5,1.869824206408436e-73,1.3813507280498403,0.67,0.183,3.2789237283578336e-69
GNLY,granulysin,7.681595144319045e-56,1.5706221167093872,0.978,0.952,1.3470445245077877e-51
CCL5,C-C motif chemokine ligand 5,2.123950142392664e-49,1.6165285942005485,0.907,0.732,3.7245589696997755e-45
GZMA,granzyme A,2.9760294630315897e-49,1.6795153219823065,0.957,0.743,5.218765266372196e-45
GZMB,granzyme B,1.5073960105318258e-48,1.851722279946825,0.861,0.548,2.64336964406861e-44
GAPDH,glyceraldehyde-3-phosphate dehydrogenase,1.941130874530548e-45,1.347880869700171,0.951,0.808,3.4039671015767686e-41
AFF3,ALF transcription elongation factor 3,6.734631318575645e-45,-1.2143687334055584,0.182,0.681,1.1809849480254251e-40
SON,SON DNA and RNA binding protein,9.603294397902192e-42,0.8300890565559325,0.981,0.763,1.6840337056161284e-37
HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",1.0263998671567885e-40,0.8109176580117916,0.407,0.077,1.7998948070461444e-36
NAMPT,nicotinamide phosphoribosyltransferase,6.23430903463865e-40,-1.201001009249658,0.42,0.772,1.0932484323142337e-35
PI3,peptidase inhibitor 3,3.794651732752877e-39,-1.1554790725064714,0.006,0.403,6.654301278555446e-35
PRF1,perforin 1,9.79131274611638e-37,1.0024928039348682,0.938,0.68,1.7170046031589685e-32
IFI27L2,interferon alpha inducible protein 27 like 2,4.3346788292333054e-36,0.7143722464450462,0.639,0.252,7.601292794943525e-32
C15orf48,chromosome 15 open reading frame 48,1.9067285413394748e-35,-1.0092101808693545,0.093,0.491,3.343639170092903e-31
IL32,interleukin 32,3.082451865713654e-35,1.1185300557832383,0.84,0.525,5.405387591715463e-31
KIR2DL4,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4",1.763520418172417e-34,0.9311191128302483,0.432,0.115,3.0925094053071504e-30
CD63,CD63 molecule,9.525004401082572e-34,0.8422018099969231,0.948,0.733,1.6703047717738397e-29
NKG7,natural killer cell granule protein 7,1.6500216225134834e-33,0.8542951670330243,0.997,0.771,2.8934779172396444e-29
LGALS1,galectin 1,2.1315005400845834e-33,1.5665207962704637,0.599,0.263,3.7377993470923255e-29
CKLF,chemokine like factor,1.0350531420573768e-32,0.9662332328657686,0.87,0.567,1.8150691899118158e-28
PPDPF,pancreatic progenitor cell differentiation and proliferation factor,3.4342218200310685e-32,0.6821307872756295,0.861,0.528,6.022251383606481e-28
LAG3,lymphocyte activating 3,5.392882002548107e-32,0.7176688346532791,0.355,0.075,9.456957879668362e-28
ATP5PF,ATP synthase peripheral stalk subunit F6,1.4045108043022431e-31,0.7049685009572209,0.83,0.525,2.4629501464244136e-27
UBASH3B,ubiquitin associated and SH3 domain containing B,1.4570831198494475e-31,1.1869915003003386,0.722,0.408,2.555140958967991e-27
