symbols,desc,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
COL26A1,collagen type XXVI alpha 1 chain,1.9525557013444836e-120,-3.007285179802095,0.017,0.799,3.424001677877686e-116
CXCL8,C-X-C motif chemokine ligand 8,8.082041436123191e-86,-1.8945676828641766,0.268,0.86,1.4172667862385629e-81
IGLL5,immunoglobulin lambda like polypeptide 5,2.185510194549943e-81,4.599258231702033,0.719,0.111,3.8325106771627795e-77
CLN8,CLN8 transmembrane ER and ERGIC protein,3.774028532476986e-60,1.8903316924697369,0.854,0.533,6.618136434551642e-56
SEMA5A,semaphorin 5A,3.559025534739539e-58,1.8441552893767534,0.552,0.047,6.241107177719255e-54
PTPRM,protein tyrosine phosphatase receptor type M,5.959692834182013e-51,1.2583302541104018,0.655,0.152,1.0450917354021577e-46
FKBP5,FKBP prolyl isomerase 5,1.173426074681286e-50,2.0183954578284893,0.867,0.692,2.057719964561103e-46
CCND3,cyclin D3,6.605984316513514e-50,1.522620932987823,0.867,0.59,1.1584254097438098e-45
IL6ST,interleukin 6 cytokine family signal transducer,1.1801958483520474e-45,1.5239417195314964,0.793,0.396,2.0695914396701504e-41
SOCS1,suppressor of cytokine signaling 1,8.64291840206867e-43,1.2751023688809027,0.708,0.322,1.5156221709867622e-38
SOX4,SRY-box transcription factor 4,9.236305225618413e-41,1.5970682763526094,0.77,0.393,1.619678484364445e-36
CXCR3,C-X-C motif chemokine receptor 3,8.990593463444385e-40,1.1236179679336193,0.732,0.374,1.5765904697496073e-35
HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",1.961378507790762e-39,1.578179758343196,0.763,0.524,3.4394733512618805e-35
IL7R,interleukin 7 receptor,8.495198963906418e-39,-1.0910160522511025,0.082,0.488,1.4897180903106293e-34
PLCB4,phospholipase C beta 4,4.2595982887022544e-38,1.1167490994785254,0.554,0.152,7.469631559068273e-34
FUT7,fucosyltransferase 7,1.1209013550134756e-36,1.415814223857759,0.636,0.275,1.9656126161516308e-32
BCL2L11,BCL2 like 11,2.0870572211843258e-35,0.9970979311672966,0.573,0.197,3.659863543068834e-31
FHIP1A,FHF complex subunit HOOK interacting protein 1A,5.137488820302284e-35,1.3793241525355642,0.85,0.63,9.009100395282085e-31
PI3,peptidase inhibitor 3,8.217123859543671e-35,-0.9317457842947942,0,0.28,1.4409548400095782e-30
SON,SON DNA and RNA binding protein,4.8492001548637953e-32,0.8595511481165286,0.949,0.775,8.503557391569152e-28
CCDC138,coiled-coil domain containing 138,1.3071533201485611e-31,1.0548576469146724,0.721,0.367,2.2922240622125168e-27
TRPM2,transient receptor potential cation channel subfamily M member 2,1.3404150888150325e-31,0.9724977015166676,0.778,0.457,2.350551899746041e-27
MRPS6,mitochondrial ribosomal protein S6,2.8297498577177806e-31,0.824416507205791,0.729,0.403,4.9622493504939e-27
LAMP5,lysosomal associated membrane protein family member 5,1.6279100679789593e-30,1.0099923123373797,0.763,0.46,2.854703095207903e-26
GNLY,granulysin,4.927403377544816e-30,-1.2584389384452546,0.228,0.552,8.640694562862589e-26
MCC,MCC regulator of WNT signaling pathway,4.9699818944915605e-30,0.9101911229853332,0.774,0.443,8.715360250180401e-26
NRP1,neuropilin 1,1.052886069323876e-29,0.7473925656339757,0.797,0.46,1.846341011166349e-25
HIVEP3,HIVEP zinc finger 3,1.1663740632941392e-29,1.0774854377002896,0.803,0.493,2.0453535573926025e-25
THEMIS2,thymocyte selection associated family member 2,1.6237353908499478e-29,0.8491210966155704,0.822,0.583,2.8473823813944686e-25
MT-CO2,NA,3.4742347426809306e-29,0.9381876017749864,0.996,0.988,6.092418044765279e-25
GNA12,G protein subunit alpha 12,4.485194089379389e-29,0.9103825858040429,0.767,0.453,7.865236355135696e-25
SKAP1,src kinase associated phosphoprotein 1,2.6117435833394534e-28,-0.8609483658491861,0.047,0.334,4.579953547744066e-24
NCALD,neurocalcin delta,5.30328785914954e-28,-0.6705272653693989,0.027,0.294,9.299845589804634e-24
MT-ND5,NA,6.9758250041098625e-28,0.7847834460062764,0.928,0.832,1.2232806727207055e-23
CTSW,cathepsin W,2.0773214698526717e-27,-0.6093820273051058,0.044,0.32,3.642790929533645e-23
CDH1,cadherin 1,2.114384213386498e-27,0.7879618204504725,0.543,0.182,3.707784156594563e-23
RPS4Y1,ribosomal protein S4 Y-linked 1,2.837147912026835e-27,-0.7639292766673051,0.129,0.462,4.975222578530258e-23
TOX,thymocyte selection associated high mobility group box,4.611244641706938e-27,-0.7406541321314745,0.078,0.384,8.086278603697287e-23
KLF13,KLF transcription factor 13,5.8756983834023455e-27,0.826219493202454,0.818,0.576,1.0303624685134353e-22
ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",8.14120401095132e-27,1.0376765945079625,0.522,0.201,1.4276415353604233e-22
HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1",9.62393082133606e-27,0.9294805010396949,0.869,0.704,1.6876525088294915e-22
TNFSF8,TNF superfamily member 8,1.1145923963196725e-26,0.8192553927911923,0.533,0.211,1.9545492261861777e-22
SRGAP2B,SLIT-ROBO Rho GTPase activating protein 2B,1.2466200640123783e-26,1.152272620432123,0.683,0.412,2.186072944252107e-22
VIPR2,vasoactive intestinal peptide receptor 2,3.1757568640190583e-26,1.1338355512209726,0.421,0.118,5.569007236743821e-22
TFEC,transcription factor EC,7.586796148234075e-26,0.7254613528548994,0.729,0.4,1.3304205725543273e-21
UTY,"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked",7.664004928906947e-26,-0.8255229267609442,0.144,0.476,1.3439599043331222e-21
STIM1,stromal interaction molecule 1,8.385268836316608e-26,1.0667283614742455,0.767,0.566,1.4704407431364805e-21
TBC1D8,TBC1 domain family member 8,1.331353832248921e-25,1.0741528484934453,0.765,0.562,2.334662080231708e-21
TCL1A,TCL1 family AKT coactivator A,1.8447336547854433e-25,1.6634469708779147,0.594,0.28,3.2349249370317536e-21
USP9Y,ubiquitin specific peptidase 9 Y-linked,1.9521169071187818e-25,-0.6870432012332578,0.133,0.46,3.423232208323496e-21
ATP8B4,ATPase phospholipid transporting 8B4 (putative),2.436783536458147e-25,-0.7874232481139917,0.051,0.318,4.273143609533007e-21
ARHGEF18,Rho/Rac guanine nucleotide exchange factor 18,2.788955785500602e-25,1.3739098709924216,0.778,0.547,4.890712865453856e-21
SRGAP2,SLIT-ROBO Rho GTPase activating protein 2,2.804252501184448e-25,1.057795236704238,0.81,0.607,4.9175371860770484e-21
KCNG2,potassium voltage-gated channel modifier subfamily G member 2,4.790617162186246e-25,0.9258736996402677,0.801,0.595,8.4008262556098e-21
PAXX,PAXX non-homologous end joining factor,5.454128105099289e-25,0.8617650861657054,0.805,0.552,9.564359045102113e-21
LILRA4,leukocyte immunoglobulin like receptor A4,7.841976539007215e-25,0.7683168674908663,0.896,0.666,1.375169005880305e-20
COBLL1,cordon-bleu WH2 repeat protein like 1,8.66755627538276e-25,0.9053841086538053,0.913,0.742,1.519942668451121e-20
SNX9,sorting nexin 9,1.0201249743192724e-24,0.8192065869497696,0.888,0.68,1.788891154966276e-20
SCAMP5,secretory carrier membrane protein 5,2.0295402930384785e-24,0.763137664769153,0.753,0.462,3.559001857872276e-20
KANK1,KN motif and ankyrin repeat domains 1,2.1147082663432755e-24,0.639111804120585,0.52,0.194,3.7083524158595677e-20
KLRB1,killer cell lectin like receptor B1,2.570051475038036e-24,-0.8060848652519137,0.125,0.427,4.5068422666267e-20
SMIM3,small integral membrane protein 3,3.357406118569519e-24,0.7638157331187699,0.636,0.327,5.88754736952351e-20
XCL1,X-C motif chemokine ligand 1,3.61203603175792e-24,-0.5809976457893646,0.034,0.277,6.334066385290689e-20
CXCR4,C-X-C motif chemokine receptor 4,3.8326412207910196e-24,0.9116785826495946,0.858,0.749,6.720919644779131e-20
HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1",5.0820204382504504e-24,0.8194612714987684,0.888,0.673,8.91183104051599e-20
MT-ATP6,NA,7.61506213571172e-24,0.883167341813297,0.983,0.993,1.3353772961184073e-19
PARVB,parvin beta,9.623955166885404e-24,0.8124347039593525,0.763,0.5,1.6876567780650244e-19
MT-ND4,NA,1.0492518366730334e-23,0.8314214495459948,0.968,0.945,1.8399680207898315e-19
HMGN1,high mobility group nucleosome binding domain 1,1.2856113675277375e-23,0.8342325881513584,0.879,0.723,2.2544480940966403e-19
IFNLR1,interferon lambda receptor 1,1.7204629552597856e-23,0.7948831398053557,0.744,0.448,3.01700383834356e-19
TXK,TXK tyrosine kinase,3.3788300790804935e-23,-0.7744773175576958,0.068,0.332,5.925116426675554e-19
ATP5PF,ATP synthase peripheral stalk subunit F6,5.782861577386723e-23,0.7792597373302561,0.799,0.597,1.0140826062105359e-18
CYBA,cytochrome b-245 alpha chain,6.691955649870318e-23,0.8067608110861091,0.973,0.855,1.173501342761259e-18
GAB1,GRB2 associated binding protein 1,6.982461777304433e-23,0.9080682342715023,0.829,0.671,1.2244444972681054e-18
ZFP36L2,ZFP36 ring finger protein like 2,9.29093946120302e-23,0.7985470792845972,0.922,0.806,1.6292591439165615e-18
HLA-DRA,"major histocompatibility complex, class II, DR alpha",1.0516806503528165e-22,0.7611520953545083,0.979,0.886,1.844227188458699e-18
TRIM14,tripartite motif containing 14,1.1912070229145832e-22,0.7849219571507251,0.738,0.472,2.088900635383013e-18
CERS6,ceramide synthase 6,2.3666346208752023e-22,0.9993438495391476,0.894,0.789,4.1501304711667546e-18
LINGO1,leucine rich repeat and Ig domain containing 1,3.3075438069416513e-22,-0.5319893116759455,0.121,0.384,5.800108819852879e-18
ERAP2,endoplasmic reticulum aminopeptidase 2,4.020055280917881e-22,0.6449486186982043,0.662,0.339,7.049568940617597e-18
CNDP2,carnosine dipeptidase 2,4.109673272813842e-22,0.6571289192018619,0.742,0.474,7.206723051206353e-18
PPP1R14B,protein phosphatase 1 regulatory inhibitor subunit 14B,4.71410647078113e-22,0.7629855174939686,0.915,0.737,8.26665710716179e-18
AKAP13,A-kinase anchoring protein 13,5.585720296353882e-22,0.8044580838618933,0.918,0.841,9.795119111686168e-18
PNOC,prepronociceptin,5.909531587751325e-22,0.8710267250985113,0.459,0.178,1.0362954592280723e-17
GCHFR,GTP cyclohydrolase I feedback regulator,9.698174454907996e-22,0.5040514665938018,0.364,0.092,1.7006718724126663e-17
KLRC1,killer cell lectin like receptor C1,1.395183319200295e-21,-0.4306403403383422,0.008,0.199,2.4465934685496375e-17
SRD5A1,steroid 5 alpha-reductase 1,2.269520596201355e-21,0.7510654594264878,0.533,0.242,3.979831317498696e-17
ZNF652,zinc finger protein 652,2.32198432079751e-21,0.7036915937985238,0.869,0.666,4.0718317049505135e-17
SLC44A2,solute carrier family 44 member 2,2.3434209469583145e-21,0.6880961165874961,0.827,0.595,4.1094229725861e-17
CORO1C,coronin 1C,2.884134557709482e-21,0.6831335665782183,0.869,0.647,5.0576183603993473e-17
