symbols,desc,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
IGLL5,immunoglobulin lambda like polypeptide 5,1.9467057047195417e-10,1.364992741651564,0.673,0.153,3.4137431237961884e-6
LGALS2,galectin 2,5.6158698210152034e-8,1.6228849838649102,0.816,0.319,9.84798931813226e-4
HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",8.99573956866988e-8,1.6684257677750953,0.633,0.194,0.00157749289076195
MAML2,mastermind like transcriptional coactivator 2,6.523360785108651e-7,-1.7463211487290804,0.143,0.583,0.01143936547276653
CXCL8,C-X-C motif chemokine ligand 8,1.6011596267070227e-6,-1.5756323221325172,0.245,0.694,0.02807793521393435
HLA-DRA,"major histocompatibility complex, class II, DR alpha",1.601880167940166e-6,0.9575695415941134,0.98,0.806,0.02809057062499875
TOX,thymocyte selection associated high mobility group box,2.2850192636374473e-5,-1.3058084295240855,0,0.306,0.40070097807146277
PI3,peptidase inhibitor 3,6.10057947971002e-5,-0.6244908649077935,0,0.278,1
XCL2,X-C motif chemokine ligand 2,6.318682060342485e-5,-0.5849625007211562,0,0.278,1
NCALD,neurocalcin delta,6.347774573222605e-5,-1.1609918766723046,0,0.278,1
MZB1,marginal zone B and B1 cell specific protein,6.85440302691174e-5,0.629215738770881,0.306,0.042,1
CHST2,carbohydrate sulfotransferase 2,6.92742045144552e-5,0.33948646627166706,0.204,0,1
LYZ,lysozyme,7.25242150218028e-5,0.9438531086228927,1,0.944,1
AFF3,ALF transcription elongation factor 3,9.040839558174034e-5,-1.59021528219446,0.163,0.528,1
ITGB2,integrin subunit beta 2,1.0052556326100059e-4,1.2500009360010118,0.694,0.375,1
CD7,CD7 molecule,1.0168476713251045e-4,-0.45943161863729726,0,0.264,1
CD69,CD69 molecule,1.0352015023673708e-4,-0.9068905956085185,0,0.264,1
HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1",1.3149363361001176e-4,0.8045746262638216,0.755,0.486,1
XCL1,X-C motif chemokine ligand 1,1.4847325815866265e-4,-0.6211076153133589,0.02,0.292,1
RGS1,regulator of G protein signaling 1,1.5373508499061053e-4,1.0942413738814012,0.633,0.306,1
ETHE1,ETHE1 persulfide dioxygenase,2.2411083385873824e-4,0.419560057969538,0.347,0.083,1
CD74,CD74 molecule,2.4084993735046877e-4,0.833401788393445,0.98,0.972,1
TYMP,thymidine phosphorylase,3.150471320073926e-4,0.9824273705520505,0.776,0.5,1
HLA-DPA1,"major histocompatibility complex, class II, DP alpha 1",3.513108999590023e-4,0.7365992741444805,0.898,0.625,1
CEBPD,CCAAT enhancer binding protein delta,3.6385760367008314e-4,0.7633233526573043,0.612,0.292,1
C1QA,complement C1q A chain,3.9806095107782294e-4,0.9530921054477652,0.673,0.361,1
