"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SLC2A5",0,0.388340211615747,0.114,0.015,0
"LAPTM5",0,0.750956525540842,0.794,0.63,0
"ZNF593",0,0.281031175261662,0.243,0.089,0
"PSMB2",0,0.497415349264931,0.521,0.309,0
"UQCRH",0,0.720729940130446,0.724,0.499,0
"C1orf122",0,0.750821742727212,0.422,0.156,0
"CDKN2C",0,0.346180107915533,0.168,0.041,0
"ELAPOR1",0,-0.982943317514684,0.068,0.307,0
"CD2",0,-0.71628402407064,0.212,0.471,0
"MGST3",0,0.543639672118117,0.511,0.284,0
"ILF2",0,0.435981415775112,0.493,0.286,0
"XCL2",0,-0.851252112442652,0.127,0.408,0
"XCL1",0,-0.796792158817765,0.155,0.461,0
"MPZL1",0,0.477652725310965,0.369,0.172,0
"PRDX6",0,0.555199380343523,0.54,0.285,0
"TMEM59",0,1.19877728329973,0.688,0.502,0
"TOMM20",0,0.680513229955699,0.676,0.43,0
"SLAMF7",0,0.94535365150284,0.471,0.235,0
"GALNT2",0,0.593323591819676,0.541,0.323,0
"NENF",0,0.665638964424044,0.336,0.127,0
"ARHGEF10L",0,0.463380127360439,0.216,0.062,0
"RNPEP",0,0.406250860420489,0.371,0.18,0
"RPL11",0,0.909792759361898,0.926,0.876,0
"KRTCAP2",0,0.937678373981704,0.564,0.355,0
"SMPDL3B",0,0.544872793308265,0.151,0.025,0
"SSR2",0,0.767464786758224,0.715,0.507,0
"PEA15",0,0.648520995621878,0.386,0.184,0
"DDOST",0,0.846541806797161,0.566,0.351,0
"UFC1",0,0.600425684748804,0.551,0.343,0
"RPS8",0,1.18209283561113,0.92,0.842,0
"STX12",0,0.588202157536085,0.558,0.324,0
"THEMIS2",0,0.786290944647338,0.508,0.275,0
"JTB",0,0.679639003717297,0.616,0.421,0
"RAB13",0,0.483574905909026,0.238,0.051,0
"RPS27",0,0.625699717952924,0.941,0.953,0
"HSPA6",0,1.75410389702628,0.199,0.058,0
"RGL1",0,1.17587651418813,0.255,0.081,0
"ATP6V0B",0,0.826286763543684,0.659,0.458,0
"SH3BGRL3",0,0.900320072451289,0.879,0.78,0
"H3-3A",0,0.761897262021904,0.948,0.902,0
