symbols,desc,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SRGAP1,SLIT-ROBO Rho GTPase activating protein 1,0,2.5136993859437733,0.736,0.106,0
IGLL5,immunoglobulin lambda like polypeptide 5,0,4.156394180349064,0.827,0.127,0
ZBTB16,zinc finger and BTB domain containing 16,8.083747075308627e-287,3.1796905893197436,0.838,0.393,1.4175658871261208e-282
FKBP5,FKBP prolyl isomerase 5,5.796839763620708e-278,2.52186018467691,0.96,0.78,1.0165338209485272e-273
HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",1.8824078975539536e-247,2.491663849990087,0.857,0.459,3.3009904891506133e-243
SLC1A3,solute carrier family 1 member 3,2.102495729208508e-234,2.8374579596725993,0.731,0.215,3.6869365107400394e-230
CXCL8,C-X-C motif chemokine ligand 8,8.572846461756163e-230,-2.241929744149469,0.358,0.86,1.503334355533561e-225
INSR,insulin receptor,2.1990664838652173e-227,2.1429029378194846,0.852,0.419,3.8562829861060446e-223
SRGAP2B,SLIT-ROBO Rho GTPase activating protein 2B,1.3798500747514565e-218,1.7659102037602528,0.888,0.501,2.419705091084154e-214
ETS2,"ETS proto-oncogene 2, transcription factor",6.712574420989337e-208,1.5311418020036958,0.908,0.521,1.1771170504646902e-203
SRGAP2,SLIT-ROBO Rho GTPase activating protein 2,1.1498755728365286e-204,1.7108892915160285,0.919,0.639,2.0164218045261367e-200
PLIN2,perilipin 2,6.516809662640522e-200,1.3386987779575414,0.809,0.335,1.142787742440642e-195
FMN1,formin 1,3.209437912592356e-193,2.4255822218081446,0.778,0.374,5.6280703235219556e-189
MTSS1,MTSS I-BAR domain containing 1,1.0909467648034457e-190,1.9020208421379228,0.816,0.367,1.9130842467593225e-186
CCND3,cyclin D3,4.290652048263185e-186,1.6838898902087391,0.846,0.496,7.524087431834321e-182
HIPK2,homeodomain interacting protein kinase 2,1.3507902708578677e-185,1.6013120428721777,0.899,0.542,2.3687458189763568e-181
CPM,carboxypeptidase M,9.877724609273616e-182,2.3073317485103066,0.765,0.343,1.7321577874822213e-177
SGMS2,sphingomyelin synthase 2,1.5166197733140088e-178,1.3051956878626594,0.84,0.383,2.659544434483446e-174
ITSN1,intersectin 1,2.515877188648345e-178,1.5173293379745927,0.727,0.254,4.411842238013738e-174
PRKCE,protein kinase C epsilon,1.944179349843766e-177,1.5269787040883374,0.884,0.517,3.4093129078860284e-173
PTEN,phosphatase and tensin homolog,2.76652291632803e-163,1.409445469079781,0.939,0.763,4.851374586072834e-159
CD163,CD163 molecule,1.6292489907091525e-158,1.5942229012025104,0.788,0.389,2.8570510301075697e-154
CSTB,cystatin B,2.072900985880197e-156,1.4990669159012595,0.883,0.581,3.6350391688395132e-152
MAFB,MAF bZIP transcription factor B,1.844656088023825e-154,1.295900827858372,0.854,0.424,3.23478891595858e-150
RPS19,ribosomal protein S19,3.8064281705600785e-154,1.4056132772360357,0.981,0.938,6.674952439894154e-150
LGALS2,galectin 2,1.0159732511872984e-152,1.392908349737966,0.714,0.288,1.7816106932820466e-148
ERGIC1,endoplasmic reticulum-golgi intermediate compartment 1,5.951710117291756e-150,1.3649464206239081,0.843,0.514,1.0436918861682823e-145
SAMSN1,"SAM domain, SH3 domain and nuclear localization signals 1",5.154471224354954e-149,1.2998670922896647,0.92,0.698,9.038880739028847e-145
TMSB10,thymosin beta 10,1.816352144369871e-148,1.2799386501663044,0.99,0.949,3.185155120367006e-144
CHKA,choline kinase alpha,2.6502959197553958e-148,1.4216202610681554,0.748,0.362,4.647558924883062e-144
UPP1,uridine phosphorylase 1,4.1987414631063573e-144,1.0095394977592367,0.798,0.389,7.362913029703308e-140
CYBA,cytochrome b-245 alpha chain,6.286957016369512e-142,1.1887871727160406,0.965,0.812,1.1024807823905576e-137
SLC25A25,solute carrier family 25 member 25,4.6030432607035095e-141,1.1851918151926137,0.658,0.243,8.071896661969674e-137
KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2,5.977099566076569e-139,1.2530774074390298,0.821,0.473,1.0481441799071871e-134
LGALS1,galectin 1,2.7790081584772734e-138,1.3899726548901472,0.92,0.67,4.873268706705746e-134
C3AR1,complement C3a receptor 1,1.3286243029544545e-137,1.0869302067928535,0.793,0.402,2.3298755776609313e-133
NUDT16,nudix hydrolase 16,1.9182090397518731e-137,0.8945022173532607,0.714,0.305,3.3637713721088846e-133
TYMP,thymidine phosphorylase,1.0933941401692393e-136,1.1940320061425314,0.955,0.732,1.917375964200778e-132
FTL,ferritin light chain,3.822011422895926e-132,1.2116411242108773,0.996,0.979,6.702279231190296e-128
PER1,period circadian regulator 1,7.141076106523772e-131,0.7551026367640861,0.675,0.251,1.2522591060400087e-126
CELF2,CUGBP Elav-like family member 2,1.629319758197727e-129,1.1146777505748267,0.963,0.896,2.857175127975534e-125
PHC2,polyhomeotic homolog 2,3.8448624447859355e-129,0.9113824335507013,0.832,0.455,6.742350783176616e-125
ARHGEF18,Rho/Rac guanine nucleotide exchange factor 18,7.732146942717308e-129,1.3542400975905886,0.835,0.529,1.3559092878749072e-124
SRGAP2C,SLIT-ROBO Rho GTPase activating protein 2C,1.1811460603578826e-128,1.1120776223919333,0.831,0.485,2.071257731443583e-124
TBXAS1,thromboxane A synthase 1,3.483043642084581e-128,1.1010177062416004,0.954,0.805,6.107865330759522e-124
RIN2,Ras and Rab interactor 2,2.449106888516985e-127,1.2582324828418072,0.848,0.501,4.2947538397033853e-123
CEBPD,CCAAT enhancer binding protein delta,3.0457459928151785e-125,1.0224730290254067,0.905,0.586,5.341020173000697e-121
RPS9,ribosomal protein S9,8.687195346236936e-125,1.0641453509682322,0.97,0.913,1.5233865759161092e-120
